SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SUM1

Rank	Gene	Common	Score
Q	YDR310C	SUM1	
1	YFR037C	RSC8	2.4
2	YMR277W	FCP1	2.4
3	YIL126W	STH1	2.4
4	YOR326W	MYO2	2.4
5	YBR079C	RPG1	2.3
6	YNL186W	UBP10	2.3
7	YDR464W	SPP41	2.3
8	YLR357W	RSC2	2.3
9	YOR370C	MRS6	2.3
10	YNL091W	NST1	2.2
11	YER164W	CHD1	2.2
12	YNR051C	BRE5	2.2
13	YER167W	BCK2	2.2
14	YDR170C	SEC7	2.2
15	YMR016C	SOK2	2.2
16	YKL068W	NUP100	2.2
17	YDR207C	UME6	2.2
18	YBR112C	CYC8	2.2
19	YPL085W	SEC16	2.2
20	YLR430W	SEN1	2.2
21	YIR023W	DAL81	2.2
22	YER114C	BOI2	2.2
23	YOR188W	MSB1	2.2
24	YJL076W	NET1	2.2
25	YHL007C	STE20	2.2
26	YJL098W	SAP185	2.2
27	YLR335W	NUP2	2.2
28	YML010W	SPT5	2.2
29	YLR384C	IKI3	2.2
30	YER165W	PAB1	2.2
31	YDR292C	SRP101	2.2
32	YNL262W	POL2	2.2
33	YOR233W	KIN4	2.2
34	YGL092W	NUP145	2.2
35	YCR033W	SNT1	2.2
36	YOR098C	NUP1	2.2
37	YER032W	FIR1	2.1
38	YPR173C	VPS4	2.1
39	YGL173C	XRN1	2.1
40	YHR119W	SET1	2.1
41	YFL022C	FRS2	2.1
42	YDR359C	EAF1	2.1
43	YLR321C	SFH1	2.1
44	YJL080C	SCP160	2.1
45	YDL112W	TRM3	2.1
46	YFR028C	CDC14	2.1
47	YDR144C	MKC7	2.1
48	YBL024W	NCL1	2.1
49	YOR304W	ISW2	2.1
50	YLL021W	SPA2	2.1
51	YNL016W	PUB1	2.1
52	YAL035W	FUN12	2.1
53	YKL054C	DEF1	2.1
54	YIL130W	ASG1	2.1
55	YER155C	BEM2	2.1
56	YDR159W	SAC3	2.1
57	YOR123C	LEO1	2.1
58	YPL082C	MOT1	2.1
59	YOL006C	TOP1	2.1
60	YLR095C	IOC2	2.1
61	YDL155W	CLB3	2.1
62	YGL014W	PUF4	2.1
63	YPL217C	BMS1	2.1
64	YGL099W	LSG1	2.1
65	YGR162W	TIF4631	2.1
66	YER089C	PTC2	2.1
67	YEL055C	POL5	2.1
68	YOR239W	ABP140	2.1
69	YBR245C	ISW1	2.1
70	YMR273C	ZDS1	2.1
71	YDL058W	USO1	2.1
72	YPL115C	BEM3	2.1
73	YKL032C	IXR1	2.1
74	YDR208W	MSS4	2.1
75	YAL023C	PMT2	2.1
76	YOL068C	HST1	2.1
77	YHR205W	SCH9	2.1
78	YGR200C	ELP2	2.1
79	YDR217C	RAD9	2.1
80	YDR206W	EBS1	2.1
81	YNL271C	BNI1	2.1
82	YAL019W	FUN30	2.0
83	YER151C	UBP3	2.0
84	YCR084C	TUP1	2.0
85	YLR399C	BDF1	2.0
86	YGL094C	PAN2	2.0
87	YHR206W	SKN7	2.0
88	YDL145C	COP1	2.0
89	YGL195W	GCN1	2.0
90	YOR217W	RFC1	2.0
91	YOR310C	NOP58	2.0
92	YLR175W	CBF5	2.0
93	YDR156W	RPA14	2.0
94	YBR289W	SNF5	2.0
95	YBL076C	ILS1	2.0
96	YHR084W	STE12	2.0
97	YDL195W	SEC31	2.0
98	YBR275C	RIF1	2.0
99	YER105C	NUP157	2.0
100	YDR081C	PDC2	2.0
101	YLR106C	REA1	2.0
102	YHR098C	SFB3	2.0
103	YDR188W	CCT6	2.0
104	YDR420W	HKR1	2.0
105	YJR031C	GEA1	2.0
106	YGR270W	YTA7	2.0
107	YGL137W	SEC27	2.0
108	YLR398C	SKI2	2.0
109	YPL032C	SVL3	2.0
110	YKL212W	SAC1	2.0
111	YLR305C	STT4	2.0
112	YDL040C	NAT1	2.0
113	YML074C	FPR3	2.0
114	YMR308C	PSE1	2.0
115	YIL038C	NOT3	2.0
116	YOR151C	RPB2	2.0
117	YGL097W	SRM1	2.0
118	YPR010C	RPA135	2.0
119	YBL052C	SAS3	2.0
120	YCR093W	CDC39	2.0
121	YEL022W	GEA2	2.0
122	YOR290C	SNF2	2.0
123	YKR092C	SRP40	2.0
124	YIR006C	PAN1	2.0
125	YIL149C	MLP2	2.0
126	YLR409C	UTP21	2.0
127	YGR274C	TAF1	2.0
128	YER132C	PMD1	2.0
129	YER166W	DNF1	2.0
130	YAL024C	LTE1	2.0
131	YGL207W	SPT16	2.0
132	YDL140C	RPO21	2.0
133	YIL047C	SYG1	2.0
134	YDL164C	CDC9	2.0
135	YLR086W	SMC4	2.0
136	YDR172W	SUP35	2.0
137	YPR137W	RRP9	2.0
138	YPR104C	FHL1	2.0
139	YHR146W	CRP1	2.0
140	YJL092W	SRS2	2.0
141	YLR071C	RGR1	2.0
142	YDR143C	SAN1	2.0
143	YDL150W	RPC53	2.0
144	YJL168C	SET2	2.0
145	YCL037C	SRO9	2.0
146	YGL083W	SCY1	2.0
147	YOR341W	RPA190	2.0
148	YGR083C	GCD2	2.0
149	YLR045C	STU2	2.0
150	YMR076C	PDS5	2.0
151	YMR109W	MYO5	2.0
152	YAL029C	MYO4	2.0
153	YNL298W	CLA4	2.0
154	YDL074C	BRE1	2.0
155	YGR090W	UTP22	2.0
156	YPR034W	ARP7	2.0
157	YCL011C	GBP2	2.0
158	YLR188W	MDL1	2.0
159	YBR084W	MIS1	2.0
160	YHR204W	MNL1	2.0
161	YNL068C	FKH2	2.0
162	YDL122W	UBP1	2.0
163	YNL233W	BNI4	2.0
164	YLR055C	SPT8	2.0
165	YHR135C	YCK1	2.0
166	YGR178C	PBP1	2.0
167	YKL112W	ABF1	2.0
168	YML065W	ORC1	2.0
169	YDR324C	UTP4	2.0
170	YNR008W	LRO1	2.0
171	YHR099W	TRA1	2.0
172	YBR049C	REB1	2.0
173	YDR180W	SCC2	2.0
174	YDR303C	RSC3	2.0
175	YEL037C	RAD23	2.0
176	YPL043W	NOP4	2.0
177	YDR440W	DOT1	2.0
178	YPL063W	TIM50	1.9
179	YGL120C	PRP43	1.9
180	YJL129C	TRK1	1.9
181	YBL051C	PIN4	1.9
182	YER088C	DOT6	1.9
183	YFL008W	SMC1	1.9
184	YNL278W	CAF120	1.9
185	YPL105C	SYH1	1.9
186	YLR380W	CSR1	1.9
187	YBR060C	ORC2	1.9
188	YDR189W	SLY1	1.9
189	YDR017C	KCS1	1.9
190	YGR094W	VAS1	1.9
191	YER036C	ARB1	1.9
192	YML104C	MDM1	1.9
193	YGR116W	SPT6	1.9
194	YMR296C	LCB1	1.9
195	YMR047C	NUP116	1.9
196	YJL197W	UBP12	1.9
197	YPR163C	TIF3	1.9
198	YBR172C	SMY2	1.9
199	YDR052C	DBF4	1.9
200	YFR034C	PHO4	1.9
201	YML113W	DAT1	1.9
202	YGR229C	SMI1	1.9
203	YPR189W	SKI3	1.9
204	YHR165C	PRP8	1.9
205	YDR060W	MAK21	1.9
206	YDR120C	TRM1	1.9
207	YPL226W	NEW1	1.9
208	YOR091W	TMA46	1.9
209	YNL102W	POL1	1.9
210	YKL028W	TFA1	1.9
211	YCR057C	PWP2	1.9
212	YJR140C	HIR3	1.9
213	YLR060W	FRS1	1.9
214	YLR272C	YCS4	1.9
215	YGL201C	MCM6	1.9
216	YGL133W	ITC1	1.9
217	YBL079W	NUP170	1.9
218	YAR014C	BUD14	1.9
219	YIL142W	CCT2	1.9
220	YPL183C	RTT10	1.9
221	YOR355W	GDS1	1.9
222	YDR309C	GIC2	1.9
223	YOR038C	HIR2	1.9
224	YGR140W	CBF2	1.9
225	YML031W	NDC1	1.9
226	YDL095W	PMT1	1.9
227	YOL066C	RIB2	1.9
228	YMR227C	TAF7	1.9
229	YDR389W	SAC7	1.9
230	YEL032W	MCM3	1.9
231	YOL123W	HRP1	1.9
232	YPR183W	DPM1	1.9
233	YOR017W	PET127	1.9
234	YPL160W	CDC60	1.9
235	YKL205W	LOS1	1.9
236	YDL060W	TSR1	1.9
237	YKR072C	SIS2	1.9
238	YAR002W	NUP60	1.9
239	YNL096C	RPS7B	1.9
240	YOR361C	PRT1	1.9
241	YMR125W	STO1	1.9
242	YKR028W	SAP190	1.9
243	YKR099W	BAS1	1.9
244	YNL066W	SUN4	1.9
245	YPL169C	MEX67	1.9
246	YNL216W	RAP1	1.9
247	YPR171W	BSP1	1.9
248	YNL087W	TCB2	1.9
249	YDR190C	RVB1	1.9
250	YDR211W	GCD6	1.9
251	YHR070W	TRM5	1.9
252	YDL042C	SIR2	1.9
253	YJR132W	NMD5	1.9
254	YMR190C	SGS1	1.9
255	YFR051C	RET2	1.9
256	YDR150W	NUM1	1.9
257	YDR091C	RLI1	1.9
258	YDR153C	ENT5	1.9
259	YDL226C	GCS1	1.9
260	YOR116C	RPO31	1.9
261	YKR010C	TOF2	1.9
262	YMR014W	BUD22	1.9
263	YCL054W	SPB1	1.9
264	YOL115W	PAP2	1.9
265	YMR080C	NAM7	1.9
266	YGR128C	UTP8	1.9
267	YJL050W	MTR4	1.9
268	YDR238C	SEC26	1.9
269	YCR052W	RSC6	1.9
270	YEL015W	EDC3	1.9
271	YDR395W	SXM1	1.9
272	YDR356W	SPC110	1.9
273	YGL023C	PIB2	1.9
274	YIL147C	SLN1	1.9
275	YDL031W	DBP10	1.9
276	YGL215W	CLG1	1.9
277	YJL081C	ARP4	1.9
278	YGR078C	PAC10	1.9
279	YOR229W	WTM2	1.9
280	YOL051W	GAL11	1.9
281	YDR093W	DNF2	1.9
282	YDR311W	TFB1	1.9
283	YJL095W	BCK1	1.9
284	YMR207C	HFA1	1.9
285	YHR120W	MSH1	1.9
286	YNL299W	TRF5	1.9
287	YDR212W	TCP1	1.9
288	YNL054W	VAC7	1.9
289	YNR016C	ACC1	1.9
290	YNR031C	SSK2	1.9
291	YIR010W	DSN1	1.9
292	YLL018C	DPS1	1.9
293	YKR082W	NUP133	1.9
294	YPR135W	CTF4	1.9
295	YLR096W	KIN2	1.9
296	YDR334W	SWR1	1.9
297	YPL040C	ISM1	1.9
298	YML114C	TAF8	1.9
299	YOL130W	ALR1	1.9
300	YDR083W	RRP8	1.9
301	YEL042W	GDA1	1.9
302	YGR014W	MSB2	1.9
303	YNL273W	TOF1	1.9
304	YOL004W	SIN3	1.9
305	YLR084C	RAX2	1.9
306	YNL163C	RIA1	1.9
307	YPR141C	KAR3	1.9
308	YBR081C	SPT7	1.9
309	YLR378C	SEC61	1.9
310	YDR398W	UTP5	1.9
311	YKL029C	MAE1	1.9
312	YGL078C	DBP3	1.9
313	YLR196W	PWP1	1.9
314	YDR325W	YCG1	1.9
315	YLR182W	SWI6	1.9
316	YNL221C	POP1	1.9
317	YJL115W	ASF1	1.9
318	YDR346C	SVF1	1.9
319	YHL023C	NPR3	1.9
320	YLR410W	VIP1	1.9
321	YDR028C	REG1	1.9
322	YJR092W	BUD4	1.9
323	YOL052C	SPE2	1.8
324	YPL050C	MNN9	1.8
325	YGL071W	AFT1	1.8
326	YHR186C	KOG1	1.8
327	YNL199C	GCR2	1.8
328	YDR062W	LCB2	1.8
329	YMR214W	SCJ1	1.8
330	YDR335W	MSN5	1.8
331	YML093W	UTP14	1.8
332	YBR002C	RER2	1.8
333	YER154W	OXA1	1.8
334	YEL061C	CIN8	1.8
335	YKR048C	NAP1	1.8
336	YBL011W	SCT1	1.8
337	YDL047W	SIT4	1.8
338	YOR224C	RPB8	1.8
339	YOR373W	NUD1	1.8
340	YBL023C	MCM2	1.8
341	YDL014W	NOP1	1.8
342	YER176W	ECM32	1.8
343	YOR243C	PUS7	1.8
344	YOR198C	BFR1	1.8
345	YDL167C	NRP1	1.8
346	YDR466W	PKH3	1.8
347	YER171W	RAD3	1.8
348	YPL016W	SWI1	1.8
349	YJL207C	LAA1	1.8
350	YBL085W	BOI1	1.8
351	YPL012W	RRP12	1.8
352	YCL014W	BUD3	1.8
353	YDR507C	GIN4	1.8
354	YFL009W	CDC4	1.8
355	YDR176W	NGG1	1.8
356	YOR322C	LDB19	1.8
357	YNL085W	MKT1	1.8
358	YHR068W	DYS1	1.8
359	YCR088W	ABP1	1.8
360	YLR172C	DPH5	1.8
361	YJL074C	SMC3	1.8
362	YOR254C	SEC63	1.8
363	YNL308C	KRI1	1.8
364	YLR397C	AFG2	1.8
365	YDR301W	CFT1	1.8
366	YNR046W	TRM112	1.8
367	YOR033C	EXO1	1.8
368	YBL061C	SKT5	1.8
369	YNR053C	NOG2	1.8
370	YBR202W	MCM7	1.8
371	YDL203C	ACK1	1.8
372	YIL021W	RPB3	1.8
373	YFR031C	SMC2	1.8
374	YER068W	MOT2	1.8
375	YDL189W	RBS1	1.8
376	YOR260W	GCD1	1.8
377	YBR283C	SSH1	1.8
378	YFL001W	DEG1	1.8
379	YDL171C	GLT1	1.8
380	YPL195W	APL5	1.8
381	YMR129W	POM152	1.8
382	YLR192C	HCR1	1.8
383	YNR017W	TIM23	1.8
384	YBL105C	PKC1	1.8
385	YGR245C	SDA1	1.8
386	YGR134W	CAF130	1.8
387	YDL208W	NHP2	1.8
388	YER172C	BRR2	1.8
389	YGL122C	NAB2	1.8
390	YBR133C	HSL7	1.8
391	YGR280C	PXR1	1.8
392	YPR088C	SRP54	1.8
393	YER115C	SPR6	1.8
394	YLR150W	STM1	1.8
395	YML102W	CAC2	1.8
396	YGR185C	TYS1	1.8
397	YNL154C	YCK2	1.8
398	YDL055C	PSA1	1.8
399	YOR001W	RRP6	1.8
400	YLR383W	SMC6	1.8
401	YCR008W	SAT4	1.8
402	YLR244C	MAP1	1.8
403	YML072C	TCB3	1.8
404	YKL166C	TPK3	1.8
405	YHL025W	SNF6	1.8
406	YMR146C	TIF34	1.8
407	YBR263W	SHM1	1.8
408	YMR012W	CLU1	1.8
409	YDL019C	OSH2	1.8
410	YJL041W	NSP1	1.8
411	YBR135W	CKS1	1.8
412	YGL049C	TIF4632	1.8
413	YBR059C	AKL1	1.8
414	YOR081C	TGL5	1.8
415	YOR335C	ALA1	1.8
416	YBR017C	KAP104	1.8
417	YDL082W	RPL13A	1.8
418	YJR002W	MPP10	1.8
419	YHR108W	GGA2	1.8
420	YBR265W	TSC10	1.8
421	YLR223C	IFH1	1.8
422	YHR102W	KIC1	1.8
423	YDR119W	VBA4	1.8
424	YGL150C	INO80	1.8
425	YHR040W	BCD1	1.8
426	YAL003W	EFB1	1.8
427	YMR269W	TMA23	1.8
428	YPR019W	MCM4	1.8
429	YMR213W	CEF1	1.8
430	YDR448W	ADA2	1.8
431	YMR309C	NIP1	1.8
432	YAL036C	RBG1	1.8
433	YEL040W	UTR2	1.8
434	YHR077C	NMD2	1.8
435	YJL090C	DPB11	1.8
436	YNL004W	HRB1	1.8
437	YJL198W	PHO90	1.8
438	YDR280W	RRP45	1.8
439	YDR312W	SSF2	1.8
440	YLR451W	LEU3	1.8
441	YDR213W	UPC2	1.8
442	YPL210C	SRP72	1.8
443	YLR138W	NHA1	1.8
444	YLR429W	CRN1	1.8
445	YKL203C	TOR2	1.8
446	YJL123C	MTC1	1.8
447	YML124C	TUB3	1.8
448	YDL197C	ASF2	1.8
449	YHR103W	SBE22	1.8
450	YCL028W	RNQ1	1.8
451	YDL117W	CYK3	1.8
452	YBR055C	PRP6	1.8
453	YKR090W	PXL1	1.8
454	YKL081W	TEF4	1.8
455	YBL004W	UTP20	1.8
456	YLR129W	DIP2	1.8
457	YOL021C	DIS3	1.8
458	YMR043W	MCM1	1.8
459	YBR015C	MNN2	1.8
460	YNL267W	PIK1	1.8
461	YBR218C	PYC2	1.8
462	YOR359W	VTS1	1.8
463	YDR326C	YSP2	1.8
464	YMR229C	RRP5	1.8
465	YGR264C	MES1	1.8
466	YHR129C	ARP1	1.8
467	YDR097C	MSH6	1.8
468	YPL254W	HFI1	1.8
469	YGL027C	CWH41	1.8
470	YDR232W	HEM1	1.8
471	YHR144C	DCD1	1.8
472	YNL023C	FAP1	1.8
473	YDR245W	MNN10	1.8
474	YGR170W	PSD2	1.8
475	YBR198C	TAF5	1.8
476	YDL141W	BPL1	1.8
477	YJL019W	MPS3	1.8
478	YKR095W	MLP1	1.8
479	YPL030W	TRM44	1.8
480	YLR197W	NOP56	1.8
481	YGL203C	KEX1	1.8
482	YDR416W	SYF1	1.8
483	YNL292W	PUS4	1.8
484	YOL097C	WRS1	1.8
485	YHR019C	DED81	1.8
486	YDR407C	TRS120	1.8
487	YDR110W	FOB1	1.8
488	YHR042W	NCP1	1.8
489	YBL014C	RRN6	1.8
490	YER093C	TSC11	1.8
491	YHR158C	KEL1	1.8
492	YGR233C	PHO81	1.8
493	YPR169W	JIP5	1.8
494	YGR187C	HGH1	1.8
495	YAL021C	CCR4	1.8
496	YLR116W	MSL5	1.8
497	YDL132W	CDC53	1.8
498	YOR207C	RET1	1.8
499	YMR049C	ERB1	1.8
500	YDL148C	NOP14	1.8
501	YER073W	ALD5	1.8
502	YER006W	NUG1	1.8
503	YNL151C	RPC31	1.8
504	YBR094W	PBY1	1.8
505	YPL204W	HRR25	1.8
506	YFR002W	NIC96	1.8
507	YER082C	UTP7	1.8
508	YCL024W	KCC4	1.8
509	YMR001C	CDC5	1.8
510	YDL052C	SLC1	1.8
511	YCL009C	ILV6	1.8
512	YPR161C	SGV1	1.8
513	YDL201W	TRM8	1.8
514	YER016W	BIM1	1.8
515	YOR371C	GPB1	1.8
516	YBL035C	POL12	1.8
517	YNL327W	EGT2	1.8
518	YLR401C	DUS3	1.8
519	YIL026C	IRR1	1.8
520	YLL043W	FPS1	1.8
521	YMR093W	UTP15	1.8
522	YKL082C	RRP14	1.8
523	YDL051W	LHP1	1.8
524	YOR201C	MRM1	1.8
525	YBR121C	GRS1	1.8
526	YBR227C	MCX1	1.8
527	YDR227W	SIR4	1.8
528	YMR128W	ECM16	1.8
529	YJR147W	HMS2	1.8
530	YIL131C	FKH1	1.8
531	YIL053W	GPP1	1.8
532	YMR301C	ATM1	1.8
533	YLR449W	FPR4	1.8
534	YHR007C	ERG11	1.8
535	YJR049C	UTR1	1.8
536	YJL069C	UTP18	1.8
537	YLR442C	SIR3	1.8
538	YER002W	NOP16	1.8
539	YFR013W	IOC3	1.8
540	YER127W	LCP5	1.8
541	YGR041W	BUD9	1.8
542	YPL093W	NOG1	1.8
543	YDL013W	SLX5	1.8
544	YFL021W	GAT1	1.8
545	YJR090C	GRR1	1.8
546	YPR112C	MRD1	1.8
547	YKL101W	HSL1	1.8
548	YHR089C	GAR1	1.8
549	YDR146C	SWI5	1.8
550	YJL186W	MNN5	1.8
551	YIL005W	EPS1	1.8
552	YCL061C	MRC1	1.8
553	YLR131C	ACE2	1.8
554	YPL263C	KEL3	1.8
555	YDR117C	TMA64	1.8
556	YLR103C	CDC45	1.8
557	YNL061W	NOP2	1.8
558	YPL049C	DIG1	1.8
559	YFL047W	RGD2	1.8
560	YPR018W	RLF2	1.8
561	YDR164C	SEC1	1.8
562	YER110C	KAP123	1.8
563	YML075C	HMG1	1.8
564	YDR508C	GNP1	1.8
565	YLR371W	ROM2	1.8
566	YGR056W	RSC1	1.8
567	YGR214W	RPS0A	1.8
568	YBR261C	TAE1	1.8
569	YML115C	VAN1	1.8
570	YDR165W	TRM82	1.8
571	YJR070C	LIA1	1.8
572	YDR300C	PRO1	1.8
573	YGL073W	HSF1	1.8
574	YKL108W	SLD2	1.8
575	YOR307C	SLY41	1.8
576	YLR222C	UTP13	1.8
577	YJL039C	NUP192	1.8
578	YEL007W	MIT1	1.8
579	YNL301C	RPL18B	1.8
580	YJL029C	VPS53	1.8
581	YER070W	RNR1	1.8
582	YDL003W	MCD1	1.8
583	YIL022W	TIM44	1.8
584	YML097C	VPS9	1.8
585	YML061C	PIF1	1.8
586	YGL197W	MDS3	1.8
587	YGR188C	BUB1	1.8
588	YER129W	SAK1	1.8
589	YDR432W	NPL3	1.8
590	YDL084W	SUB2	1.8
591	YLR187W	SKG3	1.7
592	YLR059C	REX2	1.7
593	YOR216C	RUD3	1.7
594	YNL268W	LYP1	1.7
595	YAL040C	CLN3	1.7
596	YMR290C	HAS1	1.7
597	YCR063W	BUD31	1.7
598	YHL033C	RPL8A	1.7
599	YIL079C	AIR1	1.7
600	YBL091C	MAP2	1.7
601	YJR143C	PMT4	1.7
602	YDR145W	TAF12	1.7
603	YNL080C	EOS1	1.7
604	YHR172W	SPC97	1.7
605	YEL054C	RPL12A	1.7
606	YOL103W	ITR2	1.7
607	YGL216W	KIP3	1.7
608	YOR206W	NOC2	1.7
609	YIL009W	FAA3	1.7
610	YGL171W	ROK1	1.7
611	YGR103W	NOP7	1.7
612	YDL220C	CDC13	1.7
613	YOR109W	INP53	1.7
614	YGR061C	ADE6	1.7
615	YLL022C	HIF1	1.7
616	YGL022W	STT3	1.7
617	YHR169W	DBP8	1.7
618	YHR107C	CDC12	1.7
619	YOR048C	RAT1	1.7
620	YIL115C	NUP159	1.7
621	YOL093W	TRM10	1.7
622	YER122C	GLO3	1.7
623	YDL056W	MBP1	1.7
624	YJL109C	UTP10	1.7
625	YDR023W	SES1	1.7
626	YDR321W	ASP1	1.7
627	YER131W	RPS26B	1.7
628	YPL243W	SRP68	1.7
629	YDR263C	DIN7	1.7
630	YOL041C	NOP12	1.7
631	YBR215W	HPC2	1.7
632	YNL088W	TOP2	1.7
633	YFL024C	EPL1	1.7
634	YGL172W	NUP49	1.7
635	YHR036W	BRL1	1.7
636	YHR066W	SSF1	1.7
637	YER120W	SCS2	1.7
638	YIL159W	BNR1	1.7
639	YDR152W	GIR2	1.7
640	YAL022C	FUN26	1.7
641	YJL054W	TIM54	1.7
642	YBR231C	SWC5	1.7
643	YNL064C	YDJ1	1.7
644	YGL105W	ARC1	1.7
645	YGL244W	RTF1	1.7
646	YHL029C	OCA5	1.7
647	YGL111W	NSA1	1.7
648	YMR006C	PLB2	1.7
649	YJR064W	CCT5	1.7
650	YJL187C	SWE1	1.7
651	YER126C	NSA2	1.7
652	YGR195W	SKI6	1.7
653	YNL236W	SIN4	1.7
654	YFL002C	SPB4	1.7
655	YOR119C	RIO1	1.7
656	YBR023C	CHS3	1.7
657	YBR163W	EXO5	1.7
658	YDR169C	STB3	1.7
659	YJL061W	NUP82	1.7
660	YKL106W	AAT1	1.7
661	YLR405W	DUS4	1.7
662	YGL147C	RPL9A	1.7
663	YDL064W	UBC9	1.7
664	YDL036C	PUS9	1.7
665	YPR181C	SEC23	1.7
666	YML076C	WAR1	1.7
667	YOR308C	SNU66	1.7
668	YLR440C	SEC39	1.7
669	YKL204W	EAP1	1.7
670	YDL207W	GLE1	1.7
671	YGR204W	ADE3	1.7
672	YCR059C	YIH1	1.7
673	YBR195C	MSI1	1.7
674	YOR209C	NPT1	1.7
675	YLR347C	KAP95	1.7
676	YGR098C	ESP1	1.7
677	YDR496C	PUF6	1.7
678	YCL010C	SGF29	1.7
679	YGR119C	NUP57	1.7
680	YGR159C	NSR1	1.7
681	YPL256C	CLN2	1.7
682	YGL016W	KAP122	1.7
683	YOR346W	REV1	1.7
684	YOR330C	MIP1	1.7
685	YEL036C	ANP1	1.7
686	YNL290W	RFC3	1.7
687	YGR217W	CCH1	1.7
688	YNL039W	BDP1	1.7
689	YAL025C	MAK16	1.7
690	YOR078W	BUD21	1.7
691	YOR323C	PRO2	1.7
692	YKR036C	CAF4	1.7
693	YDR047W	HEM12	1.7
694	YOL027C	MDM38	1.7
695	YGR082W	TOM20	1.7
696	YNL166C	BNI5	1.7
697	YIL002C	INP51	1.7
698	YDR128W	MTC5	1.7
699	YDL088C	ASM4	1.7
700	YDL209C	CWC2	1.7
701	YDR177W	UBC1	1.7
702	YLR316C	TAD3	1.7
703	YER008C	SEC3	1.7
704	YNL287W	SEC21	1.7
705	YFL041W	FET5	1.7
706	YOR168W	GLN4	1.7
707	YJL122W	ALB1	1.7
708	YLL036C	PRP19	1.7
709	YAL026C	DRS2	1.7
710	YOR043W	WHI2	1.7
711	YFL023W	BUD27	1.7
712	YNR067C	DSE4	1.7
713	YPL086C	ELP3	1.7
714	YGL236C	MTO1	1.7
715	YBL068W	PRS4	1.7
716	YNL076W	MKS1	1.7
717	YLR088W	GAA1	1.7
718	YGR285C	ZUO1	1.7
719	YBR130C	SHE3	1.7
720	YNL072W	RNH201	1.7
721	YHR025W	THR1	1.7
722	YLR319C	BUD6	1.7
723	YOR027W	STI1	1.7
724	YPL235W	RVB2	1.7
725	YNL121C	TOM70	1.7
726	YKR002W	PAP1	1.7
727	YBL022C	PIM1	1.7
728	YPR144C	NOC4	1.7
729	YER177W	BMH1	1.7
730	YLR032W	RAD5	1.7
731	YHR196W	UTP9	1.7
732	YGR240C	PFK1	1.7
733	YNL132W	KRE33	1.7
734	YGR258C	RAD2	1.7
735	YHR201C	PPX1	1.7
736	YOR099W	KTR1	1.7
737	YBR086C	IST2	1.7
738	YIL068C	SEC6	1.7
739	YFL017C	GNA1	1.7
740	YMR091C	NPL6	1.7
741	YML071C	COG8	1.7
742	YOR046C	DBP5	1.7
743	YHR041C	SRB2	1.7
744	YKL173W	SNU114	1.7
745	YBR162C	TOS1	1.7
746	YOR344C	TYE7	1.7
747	YLR330W	CHS5	1.7
748	YLR264W	RPS28B	1.7
749	YMR078C	CTF18	1.7
750	YNL256W	FOL1	1.7
751	YNL227C	JJJ1	1.7
752	YPL128C	TBF1	1.7
753	YBR154C	RPB5	1.7
754	YMR246W	FAA4	1.7
755	YMR106C	YKU80	1.7
756	YDL005C	MED2	1.7
757	YBR276C	PPS1	1.7
758	YER025W	GCD11	1.7
759	YBR247C	ENP1	1.7
760	YLL011W	SOF1	1.7
761	YPL231W	FAS2	1.7
762	YPL180W	TCO89	1.7
763	YHR197W	RIX1	1.7
764	YGR191W	HIP1	1.7
765	YPL253C	VIK1	1.7
766	YDR388W	RVS167	1.7
767	YNL206C	RTT106	1.7
768	YNL123W	NMA111	1.7
769	YDR234W	LYS4	1.7
770	YDR291W	HRQ1	1.7
771	YDR228C	PCF11	1.7
772	YPL190C	NAB3	1.7
773	YDR457W	TOM1	1.7
774	YOR127W	RGA1	1.7
775	YKL014C	URB1	1.7
776	YLR009W	RLP24	1.7
777	YFR029W	PTR3	1.7
778	YLL024C	SSA2	1.7
779	YDL130W	RPP1B	1.7
780	YLR372W	ELO3	1.7
781	YDR299W	BFR2	1.7
782	YJL020C	BBC1	1.7
783	YNR052C	POP2	1.7
784	YJR072C	NPA3	1.7
785	YHR193C	EGD2	1.7
786	YCR053W	THR4	1.7
787	YKR026C	GCN3	1.7
788	YER148W	SPT15	1.7
789	YER161C	SPT2	1.7
790	YOR272W	YTM1	1.7
791	YGR007W	ECT1	1.7
792	YBR142W	MAK5	1.7
793	YML006C	GIS4	1.7
794	YKL186C	MTR2	1.7
795	YBL039C	URA7	1.7
796	YHR149C	SKG6	1.7
797	YDR163W	CWC15	1.7
798	YBL008W	HIR1	1.7
799	YMR199W	CLN1	1.7
800	YLR190W	MMR1	1.7
801	YLR382C	NAM2	1.7
802	YNL317W	PFS2	1.7
803	YGR081C	SLX9	1.7
804	YPR175W	DPB2	1.7
805	YOR047C	STD1	1.7
806	YOL020W	TAT2	1.7
807	YNL071W	LAT1	1.7
808	YBR155W	CNS1	1.7
809	YNL243W	SLA2	1.7
810	YGR072W	UPF3	1.7
811	YML014W	TRM9	1.7
812	YLR256W	HAP1	1.7
813	YGR158C	MTR3	1.7
814	YHR072W	ERG7	1.7
815	YML109W	ZDS2	1.7
816	YGL113W	SLD3	1.7
817	YCR046C	IMG1	1.7
818	YOR340C	RPA43	1.7
819	YBL047C	EDE1	1.7
820	YDR429C	TIF35	1.7
821	YDR283C	GCN2	1.7
822	YGR221C	TOS2	1.7
823	YGR198W	YPP1	1.7
824	YGR218W	CRM1	1.7
