SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPB3

Rank	Gene	Common	Score
Q	YIL021W	RPB3	
1	YDR190C	RVB1	3.3
2	YIL035C	CKA1	3.3
3	YDR429C	TIF35	3.2
4	YBR154C	RPB5	3.2
5	YGR195W	SKI6	3.1
6	YML105C	SEC65	3.1
7	YHR013C	ARD1	3.1
8	YDR087C	RRP1	3.0
9	YJL124C	LSM1	3.0
10	YNL151C	RPC31	3.0
11	YDL166C	FAP7	3.0
12	YDR152W	GIR2	3.0
13	YIL118W	RHO3	3.0
14	YPL210C	SRP72	3.0
15	YPL237W	SUI3	3.0
16	YOR046C	DBP5	3.0
17	YPL243W	SRP68	3.0
18	YDL208W	NHP2	2.9
19	YDR280W	RRP45	2.9
20	YPL129W	TAF14	2.9
21	YMR260C	TIF11	2.9
22	YGL070C	RPB9	2.9
23	YGR173W	RBG2	2.9
24	YDR412W	RRP17	2.9
25	YGR187C	HGH1	2.9
26	YOR232W	MGE1	2.9
27	YIL020C	HIS6	2.9
28	YJL148W	RPA34	2.9
29	YHR196W	UTP9	2.9
30	YHR201C	PPX1	2.9
31	YHR144C	DCD1	2.9
32	YER127W	LCP5	2.8
33	YKL021C	MAK11	2.8
34	YPR041W	TIF5	2.8
35	YER007C-A	TMA20	2.8
36	YIL016W	SNL1	2.8
37	YNL292W	PUS4	2.8
38	YCL031C	RRP7	2.8
39	YHR066W	SSF1	2.8
40	YGR158C	MTR3	2.8
41	YIR012W	SQT1	2.8
42	YOL093W	TRM10	2.8
43	YDR245W	MNN10	2.8
44	YKL172W	EBP2	2.8
45	YIL142W	CCT2	2.8
46	YPR187W	RPO26	2.8
47	YIL019W	FAF1	2.8
48	YOL139C	CDC33	2.8
49	YKR026C	GCN3	2.8
50	YGL097W	SRM1	2.8
51	YKR081C	RPF2	2.8
52	YPL050C	MNN9	2.8
53	YFR001W	LOC1	2.8
54	YNL232W	CSL4	2.8
55	YHR148W	IMP3	2.8
56	YHL013C	OTU2	2.8
57	YER148W	SPT15	2.8
58	YDL051W	LHP1	2.8
59	YDR172W	SUP35	2.8
60	YBR164C	ARL1	2.7
61	YNL110C	NOP15	2.7
62	YOL077C	BRX1	2.7
63	YOR078W	BUD21	2.7
64	YHR052W	CIC1	2.7
65	YOR168W	GLN4	2.7
66	YOR276W	CAF20	2.7
67	YAL025C	MAK16	2.7
68	YLR435W	TSR2	2.7
69	YKL154W	SRP102	2.7
70	YDR339C	FCF1	2.7
71	YER112W	LSM4	2.7
72	YJR007W	SUI2	2.7
73	YLR276C	DBP9	2.7
74	YKL122C	SRP21	2.7
75	YGR083C	GCD2	2.7
76	YKL009W	MRT4	2.7
77	YGR119C	NUP57	2.7
78	YMR033W	ARP9	2.7
79	YNL002C	RLP7	2.7
80	YMR235C	RNA1	2.7
81	YPR137W	RRP9	2.7
82	YNL153C	GIM3	2.7
83	YER126C	NSA2	2.7
84	YJL111W	CCT7	2.7
85	YGR229C	SMI1	2.7
86	YFR037C	RSC8	2.7
87	YLR175W	CBF5	2.7
88	YOR361C	PRT1	2.7
89	YCL059C	KRR1	2.7
90	YPL235W	RVB2	2.7
91	YBR143C	SUP45	2.7
92	YDL201W	TRM8	2.7
93	YHR170W	NMD3	2.7
94	YOR310C	NOP58	2.7
95	YOR281C	PLP2	2.7
96	YER002W	NOP16	2.7
97	YOR340C	RPA43	2.7
98	YLR051C	FCF2	2.7
99	YLL011W	SOF1	2.7
100	YJL104W	PAM16	2.7
101	YPR163C	TIF3	2.7
102	YGL099W	LSG1	2.7
103	YLR221C	RSA3	2.7
104	YJR144W	MGM101	2.7
105	YGL106W	MLC1	2.7
106	YDL092W	SRP14	2.7
107	YDL084W	SUB2	2.7
108	YGR262C	BUD32	2.7
109	YDL143W	CCT4	2.7
110	YNR054C	ESF2	2.7
111	YMR091C	NPL6	2.7
112	YNL001W	DOM34	2.6
113	YJR064W	CCT5	2.6
114	YNL290W	RFC3	2.6
115	YGL105W	ARC1	2.6
116	YHR065C	RRP3	2.6
117	YNL248C	RPA49	2.6
118	YER031C	YPT31	2.6
119	YLR009W	RLP24	2.6
120	YMR146C	TIF34	2.6
121	YPR110C	RPC40	2.6
122	YNL175C	NOP13	2.6
123	YHR089C	GAR1	2.6
124	YNL075W	IMP4	2.6
125	YKL114C	APN1	2.6
126	YDL111C	RRP42	2.6
127	YBR171W	SEC66	2.6
128	YDR083W	RRP8	2.6
129	YNL113W	RPC19	2.6
130	YOL097C	WRS1	2.6
131	YGL020C	GET1	2.6
132	YML093W	UTP14	2.6
133	YOR210W	RPB10	2.6
134	YBR189W	RPS9B	2.6
135	YOR094W	ARF3	2.6
136	YOR224C	RPB8	2.6
137	YHR081W	LRP1	2.6
138	YER029C	SMB1	2.6
139	YDR292C	SRP101	2.6
140	YKL082C	RRP14	2.6
141	YLR192C	HCR1	2.6
142	YER131W	RPS26B	2.6
143	YGR081C	SLX9	2.6
144	YLR285W	NNT1	2.6
145	YHR069C	RRP4	2.6
146	YPR060C	ARO7	2.6
147	YIL110W	HPM1	2.6
148	YGL147C	RPL9A	2.6
149	YGL031C	RPL24A	2.6
150	YDL213C	NOP6	2.6
151	YHR121W	LSM12	2.6
152	YHR068W	DYS1	2.6
153	YBR155W	CNS1	2.6
154	YKL156W	RPS27A	2.6
155	YDL082W	RPL13A	2.6
156	YGR078C	PAC10	2.6
157	YHR193C	EGD2	2.6
158	YLR196W	PWP1	2.6
159	YOL041C	NOP12	2.6
160	YGR103W	NOP7	2.6
161	YDR449C	UTP6	2.6
162	YGR208W	SER2	2.6
163	YIR004W	DJP1	2.6
164	YJL183W	MNN11	2.6
165	YDR045C	RPC11	2.6
166	YDR267C	CIA1	2.6
167	YGR152C	RSR1	2.6
168	YDR167W	TAF10	2.6
169	YDR121W	DPB4	2.6
170	YNL166C	BNI5	2.6
171	YCL054W	SPB1	2.6
172	YGL246C	RAI1	2.6
173	YHR169W	DBP8	2.6
174	YLR262C	YPT6	2.6
175	YLR197W	NOP56	2.6
176	YGR280C	PXR1	2.6
177	YEL018W	EAF5	2.6
178	YGR162W	TIF4631	2.6
179	YJL011C	RPC17	2.6
180	YBR121C	GRS1	2.6
181	YIL103W	DPH1	2.6
182	YMR014W	BUD22	2.6
183	YJR014W	TMA22	2.6
184	YNL061W	NOP2	2.6
185	YGR264C	MES1	2.6
186	YGL100W	SEH1	2.6
187	YLR449W	FPR4	2.6
188	YML074C	FPR3	2.6
189	YDR212W	TCP1	2.6
190	YOR004W	UTP23	2.5
191	YDR023W	SES1	2.5
192	YGL029W	CGR1	2.5
193	YGR148C	RPL24B	2.5
194	YIL079C	AIR1	2.5
195	YDR361C	BCP1	2.5
196	YPL211W	NIP7	2.5
197	YHL011C	PRS3	2.5
198	YPL227C	ALG5	2.5
199	YAL059W	ECM1	2.5
200	YER016W	BIM1	2.5
201	YBL024W	NCL1	2.5
202	YGR085C	RPL11B	2.5
203	YBL068W	PRS4	2.5
204	YPL178W	CBC2	2.5
205	YGL111W	NSA1	2.5
206	YPR143W	RRP15	2.5
207	YGL171W	ROK1	2.5
208	YJL125C	GCD14	2.5
209	YPL086C	ELP3	2.5
210	YBR061C	TRM7	2.5
211	YOR095C	RKI1	2.5
212	YLR186W	EMG1	2.5
213	YOR294W	RRS1	2.5
214	YHR107C	CDC12	2.5
215	YDR496C	PUF6	2.5
216	YGR145W	ENP2	2.5
217	YHR010W	RPL27A	2.5
218	YHR062C	RPP1	2.5
219	YMR194W	RPL36A	2.5
220	YOR123C	LEO1	2.5
221	YJL122W	ALB1	2.5
222	YOR194C	TOA1	2.5
223	YNR024W	MPP6	2.5
224	YGL232W	TAN1	2.5
225	YPL266W	DIM1	2.5
226	YJR063W	RPA12	2.5
227	YJL008C	CCT8	2.5
228	YIL027C	EMC5	2.5
229	YDL150W	RPC53	2.5
230	YJL014W	CCT3	2.5
231	YGR128C	UTP8	2.5
232	YDR454C	GUK1	2.5
233	YPR088C	SRP54	2.5
234	YIL078W	THS1	2.5
235	YGR185C	TYS1	2.5
236	YOR091W	TMA46	2.5
237	YOR206W	NOC2	2.5
238	YHR085W	IPI1	2.5
239	YDL074C	BRE1	2.5
240	YIR026C	YVH1	2.5
241	YDR471W	RPL27B	2.5
242	YER107C	GLE2	2.5
243	YLR208W	SEC13	2.5
244	YIR008C	PRI1	2.5
245	YOR143C	THI80	2.5
246	YFL001W	DEG1	2.5
247	YBR079C	RPG1	2.5
248	YNL096C	RPS7B	2.5
249	YDR440W	DOT1	2.5
250	YPL081W	RPS9A	2.5
251	YOR272W	YTM1	2.5
252	YPL263C	KEL3	2.5
253	YLR405W	DUS4	2.5
254	YOR260W	GCD1	2.5
255	YHR143W-A	RPC10	2.5
256	YGL078C	DBP3	2.5
257	YPR051W	MAK3	2.5
258	YBR087W	RFC5	2.5
259	YIL052C	RPL34B	2.5
260	YDR120C	TRM1	2.5
261	YLR321C	SFH1	2.5
262	YPL239W	YAR1	2.5
263	YPR033C	HTS1	2.5
264	YDR165W	TRM82	2.5
265	YLR060W	FRS1	2.5
266	YJL208C	NUC1	2.5
267	YLR185W	RPL37A	2.5
268	YBR130C	SHE3	2.5
269	YBL027W	RPL19B	2.5
270	YOR254C	SEC63	2.5
271	YBR288C	APM3	2.5
272	YDR021W	FAL1	2.5
273	YDR002W	YRB1	2.5
274	YNL308C	KRI1	2.5
275	YAL036C	RBG1	2.5
276	YMR131C	RRB1	2.5
277	YML080W	DUS1	2.5
278	YIL076W	SEC28	2.5
279	YMR290C	HAS1	2.5
280	YOR056C	NOB1	2.5
281	YOL149W	DCP1	2.5
282	YLR068W	FYV7	2.5
283	YIL133C	RPL16A	2.5
284	YIL094C	LYS12	2.5
285	YPR133C	SPN1	2.5
286	YGR200C	ELP2	2.5
287	YGR285C	ZUO1	2.5
288	YLR222C	UTP13	2.5
289	YOR234C	RPL33B	2.5
290	YJL145W	SFH5	2.5
291	YER006W	NUG1	2.5
292	YKR025W	RPC37	2.5
293	YJR068W	RFC2	2.5
294	YEL051W	VMA8	2.5
295	YJR076C	CDC11	2.5
296	YLR033W	RSC58	2.5
297	YNL188W	KAR1	2.4
298	YGR074W	SMD1	2.4
299	YHR064C	SSZ1	2.4
300	YDL031W	DBP10	2.4
301	YMR309C	NIP1	2.4
302	YPL043W	NOP4	2.4
303	YDL236W	PHO13	2.4
304	YDR300C	PRO1	2.4
305	YLR022C	SDO1	2.4
306	YEL003W	GIM4	2.4
307	YDL148C	NOP14	2.4
308	YKL099C	UTP11	2.4
309	YOL144W	NOP8	2.4
310	YOR252W	TMA16	2.4
311	YFL002C	SPB4	2.4
312	YLR372W	ELO3	2.4
313	YLR129W	DIP2	2.4
314	YDR324C	UTP4	2.4
315	YGL172W	NUP49	2.4
316	YDL064W	UBC9	2.4
317	YHR197W	RIX1	2.4
318	YLR002C	NOC3	2.4
319	YGR167W	CLC1	2.4
320	YDR308C	SRB7	2.4
321	YNR003C	RPC34	2.4
322	YDL153C	SAS10	2.4
323	YER122C	GLO3	2.4
324	YJR072C	NPA3	2.4
325	YIL104C	SHQ1	2.4
326	YGL213C	SKI8	2.4
327	YJR032W	CPR7	2.4
328	YBR002C	RER2	2.4
329	YMR005W	TAF4	2.4
330	YDR060W	MAK21	2.4
331	YLR172C	DPH5	2.4
332	YGR275W	RTT102	2.4
333	YOL115W	PAP2	2.4
334	YEL055C	POL5	2.4
335	YPR169W	JIP5	2.4
336	YIL063C	YRB2	2.4
337	YLR003C	CMS1	2.4
338	YOL094C	RFC4	2.4
339	YKL181W	PRS1	2.4
340	YER049W	TPA1	2.4
341	YJR069C	HAM1	2.4
342	YGL120C	PRP43	2.4
343	YDL060W	TSR1	2.4
344	YER025W	GCD11	2.4
345	YMR142C	RPL13B	2.4
346	YMR212C	EFR3	2.4
347	YLR409C	UTP21	2.4
348	YKL144C	RPC25	2.4
349	YEL054C	RPL12A	2.4
350	YNL255C	GIS2	2.4
351	YFR028C	CDC14	2.4
352	YKR060W	UTP30	2.4
353	YBR252W	DUT1	2.4
354	YNL062C	GCD10	2.4
355	YDR312W	SSF2	2.4
356	YML069W	POB3	2.4
357	YOR115C	TRS33	2.4
358	YDL226C	GCS1	2.4
359	YGR135W	PRE9	2.4
360	YCL011C	GBP2	2.4
361	YPR062W	FCY1	2.4
362	YLR061W	RPL22A	2.4
363	YKL081W	TEF4	2.4
364	YHR133C	NSG1	2.4
365	YKL166C	TPK3	2.4
366	YDR194C	MSS116	2.4
367	YAR002W	NUP60	2.4
368	YOR241W	MET7	2.4
369	YDL043C	PRP11	2.4
370	YJL190C	RPS22A	2.4
371	YHR019C	DED81	2.4
372	YBR247C	ENP1	2.4
373	YML097C	VPS9	2.4
374	YGL043W	DST1	2.4
375	YHR167W	THP2	2.4
376	YDL219W	DTD1	2.4
377	YPL117C	IDI1	2.4
378	YPL037C	EGD1	2.4
379	YML022W	APT1	2.4
380	YBR142W	MAK5	2.4
381	YOL124C	TRM11	2.4
382	YDR101C	ARX1	2.4
383	YDR398W	UTP5	2.4
384	YLR448W	RPL6B	2.4
385	YHR088W	RPF1	2.4
386	YDL192W	ARF1	2.4
387	YLR293C	GSP1	2.4
388	YDR177W	UBC1	2.4
389	YLL045C	RPL8B	2.4
390	YHL015W	RPS20	2.4
391	YDL083C	RPS16B	2.4
392	YGR123C	PPT1	2.4
393	YDL191W	RPL35A	2.4
394	YLR441C	RPS1A	2.4
395	YNL067W	RPL9B	2.4
396	YBL039C	URA7	2.4
397	YER168C	CCA1	2.4
398	YKL110C	KTI12	2.4
399	YDL225W	SHS1	2.4
400	YDL075W	RPL31A	2.4
401	YLR150W	STM1	2.4
402	YKL186C	MTR2	2.4
403	YGL244W	RTF1	2.4
404	YGL058W	RAD6	2.4
405	YJL050W	MTR4	2.4
406	YJL136C	RPS21B	2.4
407	YNL207W	RIO2	2.4
408	YCR035C	RRP43	2.4
409	YIL149C	MLP2	2.4
410	YML063W	RPS1B	2.4
411	YOR216C	RUD3	2.4
412	YDL103C	QRI1	2.4
413	YAL003W	EFB1	2.4
414	YOL080C	REX4	2.4
415	YER082C	UTP7	2.4
416	YAR008W	SEN34	2.4
417	YBL087C	RPL23A	2.4
418	YOR159C	SME1	2.4
419	YDR211W	GCD6	2.4
420	YBR265W	TSC10	2.4
421	YKL196C	YKT6	2.4
422	YGR005C	TFG2	2.4
423	YBR084C-A	RPL19A	2.4
424	YOR061W	CKA2	2.4
425	YOR243C	PUS7	2.4
426	YOL010W	RCL1	2.4
427	YPR173C	VPS4	2.3
428	YER117W	RPL23B	2.3
429	YHL001W	RPL14B	2.3
430	YGR084C	MRP13	2.3
431	YIL093C	RSM25	2.3
432	YGR095C	RRP46	2.3
433	YMR123W	PKR1	2.3
434	YML014W	TRM9	2.3
435	YGR271C-A	EFG1	2.3
436	YHR128W	FUR1	2.3
437	YER171W	RAD3	2.3
438	YJR043C	POL32	2.3
439	YML106W	URA5	2.3
440	YKL143W	LTV1	2.3
441	YAL035W	FUN12	2.3
442	YKR092C	SRP40	2.3
443	YBL057C	PTH2	2.3
444	YPL079W	RPL21B	2.3
445	YIR011C	STS1	2.3
446	YLR335W	NUP2	2.3
447	YDR086C	SSS1	2.3
448	YLR367W	RPS22B	2.3
449	YER048C	CAJ1	2.3
450	YJR002W	MPP10	2.3
451	YML026C	RPS18B	2.3
452	YBR034C	HMT1	2.3
453	YOL120C	RPL18A	2.3
454	YMR093W	UTP15	2.3
455	YKR057W	RPS21A	2.3
456	YBR106W	SND3	2.3
457	YBR279W	PAF1	2.3
458	YPR139C	LOA1	2.3
459	YGR120C	COG2	2.3
460	YMR308C	PSE1	2.3
461	YHL033C	RPL8A	2.3
462	YGL103W	RPL28	2.3
463	YEL026W	SNU13	2.3
464	YNL178W	RPS3	2.3
465	YPR056W	TFB4	2.3
466	YNL229C	URE2	2.3
467	YHR127W	YHR127W	2.3
468	YNL206C	RTT106	2.3
469	YPL038W	MET31	2.3
470	YIL126W	STH1	2.3
471	YNL121C	TOM70	2.3
472	YJL191W	RPS14B	2.3
473	YMR239C	RNT1	2.3
474	YIL128W	MET18	2.3
475	YKL113C	RAD27	2.3
476	YFR002W	NIC96	2.3
477	YGL210W	YPT32	2.3
478	YKL130C	SHE2	2.3
479	YNL182C	IPI3	2.3
480	YER146W	LSM5	2.3
481	YML094W	GIM5	2.3
482	YPL146C	NOP53	2.3
483	YNR046W	TRM112	2.3
484	YKL180W	RPL17A	2.3
485	YOR101W	RAS1	2.3
486	YDR465C	RMT2	2.3
487	YHL003C	LAG1	2.3
488	YLR018C	POM34	2.3
489	YPR118W	MRI1	2.3
490	YGR118W	RPS23A	2.3
491	YDL014W	NOP1	2.3
492	YKL160W	ELF1	2.3
493	YGL050W	TYW3	2.3
494	YIL069C	RPS24B	2.3
495	YML073C	RPL6A	2.3
496	YPR069C	SPE3	2.3
497	YNR053C	NOG2	2.3
498	YCR057C	PWP2	2.3
499	YDR346C	SVF1	2.3
500	YPR102C	RPL11A	2.3
501	YDR144C	MKC7	2.3
502	YBR191W	RPL21A	2.3
503	YPR112C	MRD1	2.3
504	YJL033W	HCA4	2.3
505	YFL022C	FRS2	2.3
506	YJL140W	RPB4	2.3
507	YPL273W	SAM4	2.3
508	YDR098C	GRX3	2.3
509	YOL056W	GPM3	2.3
510	YER056C-A	RPL34A	2.3
511	YDR450W	RPS18A	2.3
512	YGR276C	RNH70	2.3
513	YEL037C	RAD23	2.3
514	YBR192W	RIM2	2.3
515	YGR007W	ECT1	2.3
516	YNL302C	RPS19B	2.3
517	YLR418C	CDC73	2.3
518	YER161C	SPT2	2.3
519	YGL112C	TAF6	2.3
520	YJR070C	LIA1	2.3
521	YDR299W	BFR2	2.3
522	YOR145C	PNO1	2.3
523	YLR291C	GCD7	2.3
524	YOL145C	CTR9	2.3
525	YMR183C	SSO2	2.3
526	YER074W	RPS24A	2.3
527	YLR200W	YKE2	2.3
528	YJL179W	PFD1	2.3
529	YLR264W	RPS28B	2.3
530	YMR263W	SAP30	2.3
531	YER009W	NTF2	2.3
532	YIL085C	KTR7	2.3
533	YGR214W	RPS0A	2.3
534	YBL072C	RPS8A	2.3
535	YLR388W	RPS29A	2.3
536	YOR293W	RPS10A	2.3
537	YIL008W	URM1	2.3
538	YOR051C	ETT1	2.3
539	YML077W	BET5	2.3
540	YFL045C	SEC53	2.3
541	YGR105W	VMA21	2.3
542	YDR418W	RPL12B	2.3
543	YIL022W	TIM44	2.3
544	YMR125W	STO1	2.3
545	YGL148W	ARO2	2.3
546	YJL177W	RPL17B	2.3
547	YPL160W	CDC60	2.3
548	YNL301C	RPL18B	2.3
549	YNL119W	NCS2	2.3
550	YNL149C	PGA2	2.3
551	YPL090C	RPS6A	2.3
552	YNR022C	MRPL50	2.3
553	YDR226W	ADK1	2.3
554	YNL059C	ARP5	2.3
555	YGL123W	RPS2	2.3
556	YDR500C	RPL37B	2.3
557	YDR071C	PAA1	2.3
558	YJL010C	NOP9	2.3
559	YML015C	TAF11	2.3
560	YER118C	SHO1	2.3
561	YDR037W	KRS1	2.3
562	YJL081C	ARP4	2.3
563	YOR295W	UAF30	2.3
564	YIL004C	BET1	2.3
565	YMR269W	TMA23	2.3
566	YPL143W	RPL33A	2.3
567	YIL038C	NOT3	2.3
568	YBR088C	POL30	2.2
569	YBL076C	ILS1	2.2
570	YGL076C	RPL7A	2.2
571	YDR201W	SPC19	2.2
572	YGL061C	DUO1	2.2
573	YOR332W	VMA4	2.2
574	YBR091C	TIM12	2.2
575	YFL017C	GNA1	2.2
576	YIL131C	FKH1	2.2
577	YMR285C	NGL2	2.2
578	YDR184C	ATC1	2.2
579	YHL007C	STE20	2.2
580	YIR021W	MRS1	2.2
581	YDL099W	BUG1	2.2
582	YOR096W	RPS7A	2.2
583	YPL244C	HUT1	2.2
584	YPR034W	ARP7	2.2
585	YJL069C	UTP18	2.2
586	YML062C	MFT1	2.2
587	YDR257C	RKM4	2.2
588	YBR283C	SSH1	2.2
589	YIL044C	AGE2	2.2
590	YPL254W	HFI1	2.2
591	YEL040W	UTR2	2.2
592	YJL192C	SOP4	2.2
593	YLR292C	SEC72	2.2
594	YLL034C	RIX7	2.2
595	YMR049C	ERB1	2.2
596	YLR344W	RPL26A	2.2
597	YLR008C	PAM18	2.2
598	YBR084W	MIS1	2.2
599	YHR039C-A	VMA10	2.2
600	YDR395W	SXM1	2.2
601	YPL094C	SEC62	2.2
602	YJL168C	SET2	2.2
603	YGR220C	MRPL9	2.2
604	YKR085C	MRPL20	2.2
605	YDL167C	NRP1	2.2
606	YAL007C	ERP2	2.2
607	YNR017W	TIM23	2.2
608	YDL007W	RPT2	2.2
609	YGL169W	SUA5	2.2
610	YLR181C	VTA1	2.2
611	YDL122W	UBP1	2.2
612	YLR074C	BUD20	2.2
613	YOR253W	NAT5	2.2
614	YEL015W	EDC3	2.2
615	YNL099C	OCA1	2.2
616	YLR325C	RPL38	2.2
617	YHR021C	RPS27B	2.2
618	YIR010W	DSN1	2.2
619	YKR083C	DAD2	2.2
620	YGL044C	RNA15	2.2
621	YNL330C	RPD3	2.2
622	YOR151C	RPB2	2.2
623	YHR108W	GGA2	2.2
624	YDR337W	MRPS28	2.2
625	YIL148W	RPL40A	2.2
626	YIL009W	FAA3	2.2
627	YML125C	PGA3	2.2
628	YGL019W	CKB1	2.2
629	YDL116W	NUP84	2.2
630	YFL034C-A	RPL22B	2.2
631	YLR406C	RPL31B	2.2
632	YOR196C	LIP5	2.2
633	YGR034W	RPL26B	2.2
634	YIL145C	PAN6	2.2
635	YAL033W	POP5	2.2
636	YNR038W	DBP6	2.2
637	YPL226W	NEW1	2.2
638	YBR095C	RXT2	2.2
639	YOL021C	DIS3	2.2
640	YGR072W	UPF3	2.2
641	YBL091C	MAP2	2.2
642	YMR153W	NUP53	2.2
643	YFR009W	GCN20	2.2
644	YOR312C	RPL20B	2.2
645	YGL243W	TAD1	2.2
646	YPR043W	RPL43A	2.2
647	YGR155W	CYS4	2.2
648	YDR051C	DET1	2.2
649	YBR162W-A	YSY6	2.2
650	YNL090W	RHO2	2.2
651	YOR209C	NPT1	2.2
652	YNL154C	YCK2	2.2
653	YGR245C	SDA1	2.2
654	YOR212W	STE4	2.2
655	YML056C	IMD4	2.2
656	YHR060W	VMA22	2.2
657	YOL012C	HTZ1	2.2
658	YPL093W	NOG1	2.2
659	YJL115W	ASF1	2.2
660	YHR063C	PAN5	2.2
661	YDR117C	TMA64	2.2
662	YMR217W	GUA1	2.2
663	YLR146C	SPE4	2.2
664	YBR267W	REI1	2.2
665	YDR091C	RLI1	2.2
666	YLR432W	IMD3	2.2
667	YPL157W	TGS1	2.2
668	YGR147C	NAT2	2.2
669	YOR217W	RFC1	2.2
670	YKL205W	LOS1	2.2
671	YGR027C	RPS25A	2.2
672	YPR144C	NOC4	2.2
673	YNL231C	PDR16	2.2
674	YGR163W	GTR2	2.2
675	YNL252C	MRPL17	2.2
676	YPR190C	RPC82	2.2
677	YGR253C	PUP2	2.2
678	YIR009W	MSL1	2.2
679	YNL147W	LSM7	2.2
680	YDL202W	MRPL11	2.2
681	YLR020C	YEH2	2.2
682	YDR397C	NCB2	2.2
683	YOR166C	SWT1	2.2
684	YOR239W	ABP140	2.2
685	YBR257W	POP4	2.2
686	YGR094W	VAS1	2.2
687	YHR076W	PTC7	2.2
688	YDR321W	ASP1	2.2
689	YHR005C	GPA1	2.2
690	YGR215W	RSM27	2.2
691	YER030W	CHZ1	2.2
692	YOL123W	HRP1	2.2
693	YHR129C	ARP1	2.2
694	YNL164C	IBD2	2.2
695	YGR082W	TOM20	2.2
696	YOR198C	BFR1	2.2
697	YPR132W	RPS23B	2.2
698	YER149C	PEA2	2.2
699	YDR365C	ESF1	2.2
700	YKR056W	TRM2	2.2
701	YLR359W	ADE13	2.2
702	YLR420W	URA4	2.2
703	YPL255W	BBP1	2.2
704	YLL036C	PRP19	2.2
705	YGR159C	NSR1	2.2
706	YDL003W	MCD1	2.2
707	YPR057W	BRR1	2.2
708	YBL002W	HTB2	2.2
709	YCR034W	ELO2	2.2
710	YMR242C	RPL20A	2.2
711	YNL004W	HRB1	2.2
712	YIL018W	RPL2B	2.2
713	YBR254C	TRS20	2.2
714	YPL013C	MRPS16	2.2
715	YIL138C	TPM2	2.2
716	YPL126W	NAN1	2.2
717	YDL040C	NAT1	2.2
718	YDR068W	DOS2	2.2
719	YKL128C	PMU1	2.2
720	YLR314C	CDC3	2.2
721	YLR048W	RPS0B	2.2
722	YMR044W	IOC4	2.2
723	YDR188W	CCT6	2.2
724	YDL212W	SHR3	2.2
725	YER043C	SAH1	2.2
726	YFR004W	RPN11	2.2
727	YBR048W	RPS11B	2.2
728	YPL217C	BMS1	2.2
729	YLR333C	RPS25B	2.2
730	YMR229C	RRP5	2.2
731	YER100W	UBC6	2.2
732	YPL173W	MRPL40	2.2
733	YLL008W	DRS1	2.2
734	YDR025W	RPS11A	2.2
735	YML024W	RPS17A	2.2
736	YKR024C	DBP7	2.2
737	YLR195C	NMT1	2.2
738	YPL183C	RTT10	2.2
739	YOR167C	RPS28A	2.2
740	YPL012W	RRP12	2.2
741	YER036C	ARB1	2.2
742	YNL299W	TRF5	2.2
743	YCR053W	THR4	2.2
744	YLR017W	MEU1	2.2
745	YOL061W	PRS5	2.2
746	YLR029C	RPL15A	2.2
747	YNL256W	FOL1	2.2
748	YNL038W	GPI15	2.2
749	YNR020C	ATP23	2.2
750	YIL043C	CBR1	2.2
751	YDR189W	SLY1	2.2
752	YMR012W	CLU1	2.2
753	YIL053W	GPP1	2.1
754	YLR401C	DUS3	2.1
755	YLR412W	BER1	2.1
756	YDR447C	RPS17B	2.1
757	YIL040W	APQ12	2.1
758	YGR261C	APL6	2.1
759	YDR404C	RPB7	2.1
760	YLR078C	BOS1	2.1
761	YGL092W	NUP145	2.1
762	YDR064W	RPS13	2.1
763	YGR172C	YIP1	2.1
764	YHR049W	FSH1	2.1
765	YNL132W	KRE33	2.1
766	YJR123W	RPS5	2.1
767	YGR020C	VMA7	2.1
768	YBR166C	TYR1	2.1
769	YBR205W	KTR3	2.1
770	YFR031C-A	RPL2A	2.1
771	YEL053C	MAK10	2.1
772	YIL039W	TED1	2.1
773	YNL141W	AAH1	2.1
774	YLR183C	TOS4	2.1
775	YPL010W	RET3	2.1
776	YFL048C	EMP47	2.1
777	YOR259C	RPT4	2.1
778	YJR067C	YAE1	2.1
779	YNL163C	RIA1	2.1
780	YFL034C-B	MOB2	2.1
781	YER055C	HIS1	2.1
782	YBR187W	GDT1	2.1
783	YGL048C	RPT6	2.1
784	YLR052W	IES3	2.1
785	YJL080C	SCP160	2.1
786	YOR174W	MED4	2.1
787	YOR106W	VAM3	2.1
788	YLR316C	TAD3	2.1
789	YJL123C	MTC1	2.1
790	YML124C	TUB3	2.1
791	YBL038W	MRPL16	2.1
792	YMR230W	RPS10B	2.1
793	YHR084W	STE12	2.1
794	YOR001W	RRP6	2.1
795	YGL068W	MNP1	2.1
796	YMR214W	SCJ1	2.1
797	YLR147C	SMD3	2.1
798	YNR051C	BRE5	2.1
799	YEL022W	GEA2	2.1
800	YML065W	ORC1	2.1
801	YKL018W	SWD2	2.1
802	YGL016W	KAP122	2.1
803	YCR031C	RPS14A	2.1
804	YHR118C	ORC6	2.1
805	YJL096W	MRPL49	2.1
806	YMR038C	CCS1	2.1
807	YFL023W	BUD27	2.1
808	YPL063W	TIM50	2.1
809	YMR270C	RRN9	2.1
810	YNL085W	MKT1	2.1
811	YDL130W	RPP1B	2.1
812	YDR372C	VPS74	2.1
813	YGR063C	SPT4	2.1
814	YLR277C	YSH1	2.1
815	YDL235C	YPD1	2.1
816	YER102W	RPS8B	2.1
817	YDL052C	SLC1	2.1
