SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SNO3

Rank	Gene	Common	Score
Q	YFL060C	SNO3	
1	YNL334C	SNO2	5.3
2	YFL059W	SNZ3	2.6
3	YNL333W	SNZ2	2.5
4	YPR018W	RLF2	2.3
5	YLR234W	TOP3	2.3
6	YPR201W	ARR3	2.3
7	YLR307W	CDA1	2.2
8	YAL065C	YAL065C	2.1
9	YIL029C	EMA17	2.0
10	YFL058W	THI5	1.9
11	YDR344C	YDR344C	1.8
12	YNL332W	THI12	1.8
13	YGL152C	YGL152C	1.8
14	YFL061W	DDI3	1.8
15	YIR029W	DAL2	1.7
16	YJR156C	THI11	1.7
17	YDL244W	THI13	1.7
18	YKR009C	FOX2	1.7
19	YJR078W	BNA2	1.7
20	YML118W	NGL3	1.7
21	YIL087C	AIM19	1.6
22	YOL055C	THI20	1.6
23	YBR073W	RDH54	1.6
24	YPR005C	HAL1	1.6
25	YGL248W	PDE1	1.6
26	YAL051W	OAF1	1.6
27	YIR009W	MSL1	1.6
28	YFL044C	OTU1	1.5
29	YDR204W	COQ4	1.5
30	YER142C	MAG1	1.5
31	YBR278W	DPB3	1.5
32	YFL030W	AGX1	1.5
33	YKL218C	SRY1	1.5
34	YLR231C	BNA5	1.5
35	YMR020W	FMS1	1.5
36	YHR124W	NDT80	1.5
37	YOR386W	PHR1	1.5
38	YIR028W	DAL4	1.5
39	YGL208W	SIP2	1.5
40	YNL117W	MLS1	1.5
41	YOR138C	RUP1	1.5
42	YNL312W	RFA2	1.5
43	YOR358W	HAP5	1.5
44	YDL018C	ERP3	1.5
45	YIL071C	PCI8	1.5
46	YER175C	TMT1	1.5
47	YBL049W	MOH1	1.5
48	YNL331C	AAD14	1.5
49	YCR104W	PAU3	1.5
50	YDR022C	ATG31	1.5
51	YJL153C	INO1	1.5
52	YMR271C	URA10	1.5
53	YEL066W	HPA3	1.5
54	YCR036W	RBK1	1.5
55	YJR155W	AAD10	1.5
56	YOR003W	YSP3	1.5
57	YBR026C	ETR1	1.5
58	YJL170C	ASG7	1.5
59	YFL062W	COS4	1.5
60	YDL132W	CDC53	1.5
61	YOR284W	HUA2	1.5
62	YOR074C	CDC21	1.5
63	YDL049C	KNH1	1.5
64	YGL121C	GPG1	1.5
65	YIR030C	DCG1	1.5
66	YDR533C	HSP31	1.5
67	YNL012W	SPO1	1.5
68	YFR026C	ULI1	1.5
69	YJR025C	BNA1	1.5
70	YER179W	DMC1	1.5
71	YNL093W	YPT53	1.5
72	YPR121W	THI22	1.5
73	YIL026C	IRR1	1.5
74	YIL120W	QDR1	1.5
75	YOL033W	MSE1	1.5
76	YPL134C	ODC1	1.5
77	YGL226W	MTC3	1.5
78	YDL246C	SOR2	1.4
79	YGL096W	TOS8	1.4
80	YBR301W	PAU24	1.4
81	YLR048W	RPS0B	1.4
82	YKL217W	JEN1	1.4
83	YOR173W	DCS2	1.4
84	YPL002C	SNF8	1.4
85	YGL136C	MRM2	1.4
86	YFR049W	KGD4	1.4
87	YER170W	ADK2	1.4
88	YIL015W	BAR1	1.4
89	YPL123C	RNY1	1.4
90	YDL197C	ASF2	1.4
91	YDR503C	LPP1	1.4
92	YIR018W	YAP5	1.4
93	YGR141W	VPS62	1.4
94	YBL016W	FUS3	1.4
95	YOR040W	GLO4	1.4
96	YKL067W	YNK1	1.4
97	YNL310C	ZIM17	1.4
98	YER182W	FMP10	1.4
99	YNL335W	DDI2	1.4
100	YJL089W	SIP4	1.4
101	YLR105C	SEN2	1.4
102	YGL005C	COG7	1.4
103	YDR272W	GLO2	1.4
104	YGL219C	MDM34	1.4
105	YER046W	SPO73	1.4
106	YKL026C	GPX1	1.4
107	YFL046W	FMP32	1.4
108	YGL143C	MRF1	1.4
109	YLR191W	PEX13	1.4
110	YPL214C	THI6	1.4
111	YDL101C	DUN1	1.4
112	YPR001W	CIT3	1.4
113	YGR044C	RME1	1.4
114	YMR048W	CSM3	1.4
115	YKR097W	PCK1	1.4
116	YOR350C	MNE1	1.4
117	YOR280C	FSH3	1.4
118	YNL015W	PBI2	1.4
119	YIR027C	DAL1	1.4
120	YJR161C	COS5	1.4
121	YGR212W	SLI1	1.4
122	YDR246W	TRS23	1.4
123	YBR215W	HPC2	1.4
124	YLR247C	IRC20	1.4
125	YBR047W	FMP23	1.4
126	YGR008C	STF2	1.4
127	YJR057W	CDC8	1.4
128	YKR076W	ECM4	1.4
129	YDR530C	APA2	1.4
130	YOL071W	SDH5	1.4
131	YBR240C	THI2	1.4
132	YPL258C	THI21	1.4
133	YLR011W	LOT6	1.4
134	YFR027W	ECO1	1.4
135	YPL196W	OXR1	1.4
136	YGL090W	LIF1	1.4
137	YMR250W	GAD1	1.4
138	YPR006C	ICL2	1.4
139	YNL009W	IDP3	1.4
140	YDR287W	INM2	1.4
141	YLR284C	ECI1	1.4
142	YGR183C	QCR9	1.4
143	YDL245C	HXT15	1.4
144	YNL314W	DAL82	1.4
145	YER053C	PIC2	1.4
146	YGL032C	AGA2	1.4
147	YIR032C	DAL3	1.4
148	YGL254W	FZF1	1.4
149	YMR322C	SNO4	1.4
150	YLR306W	UBC12	1.4
151	YGL115W	SNF4	1.4
152	YFL026W	STE2	1.4
153	YGL251C	HFM1	1.4
154	YHR209W	CRG1	1.4
155	YBR169C	SSE2	1.4
156	YGR144W	THI4	1.4
157	YBR302C	COS2	1.4
158	YBL058W	SHP1	1.4
159	YIL050W	PCL7	1.4
160	YMR081C	ISF1	1.4
161	YGR112W	SHY1	1.4
162	YDR059C	UBC5	1.4
163	YGL038C	OCH1	1.4
164	YFL056C	AAD6	1.4
165	YDL037C	BSC1	1.4
166	YBR185C	MBA1	1.4
167	YGL156W	AMS1	1.4
168	YHR067W	HTD2	1.4
169	YIL140W	AXL2	1.4
170	YML032C	RAD52	1.4
171	YMR174C	PAI3	1.4
172	YLR097C	HRT3	1.4
173	YGL196W	DSD1	1.4
174	YDR178W	SDH4	1.4
175	YOR288C	MPD1	1.4
176	YOR260W	GCD1	1.4
177	YLR142W	PUT1	1.4
178	YDR058C	TGL2	1.4
179	YDL021W	GPM2	1.4
180	YGL205W	POX1	1.4
181	YER101C	AST2	1.4
182	YIR025W	MND2	1.4
183	YPR134W	MSS18	1.4
184	YIL098C	FMC1	1.4
185	YHR044C	DOG1	1.4
186	YER061C	CEM1	1.4
187	YJR006W	POL31	1.4
188	YJL048C	UBX6	1.4
189	YAR008W	SEN34	1.4
190	YLR174W	IDP2	1.4
191	YHR005C	GPA1	1.4
192	YGL227W	VID30	1.4
193	YOR317W	FAA1	1.4
194	YHL024W	RIM4	1.4
195	YBR269C	SDH8	1.4
196	YDL200C	MGT1	1.4
197	YLR205C	HMX1	1.4
198	YLR103C	CDC45	1.4
199	YJR159W	SOR1	1.4
200	YJL066C	MPM1	1.4
201	YML054C	CYB2	1.4
202	YBR157C	ICS2	1.4
203	YDR403W	DIT1	1.4
204	YHR176W	FMO1	1.4
205	YGL174W	BUD13	1.4
206	YDL024C	DIA3	1.4
207	YDL248W	COS7	1.4
208	YAR027W	UIP3	1.4
209	YBR183W	YPC1	1.4
210	YBR046C	ZTA1	1.4
211	YCL027W	FUS1	1.4
212	YMR170C	ALD2	1.4
213	YCL024W	KCC4	1.4
214	YNL325C	FIG4	1.4
215	YMR278W	PRM15	1.4
216	YDR380W	ARO10	1.4
217	YML071C	COG8	1.4
218	YIL065C	FIS1	1.4
219	YDR536W	STL1	1.4
220	YPL224C	MMT2	1.4
221	YIR005W	IST3	1.4
222	YIL139C	REV7	1.4
223	YDR043C	NRG1	1.4
224	YDR055W	PST1	1.4
225	YGR248W	SOL4	1.4
226	YPR068C	HOS1	1.4
227	YER039C	HVG1	1.4
228	YHL048W	COS8	1.4
229	YOR380W	RDR1	1.4
230	YNR002C	ATO2	1.4
231	YPL280W	HSP32	1.4
232	YPL070W	MUK1	1.4
233	YMR023C	MSS1	1.3
234	YLR313C	SPH1	1.3
235	YBR033W	EDS1	1.3
236	YJL173C	RFA3	1.3
237	YKL208W	CBT1	1.3
238	YKL150W	MCR1	1.3
239	YIL010W	DOT5	1.3
240	YBR088C	POL30	1.3
241	YOL084W	PHM7	1.3
242	YJL108C	PRM10	1.3
243	YDL107W	MSS2	1.3
244	YDR410C	STE14	1.3
245	YDL154W	MSH5	1.3
246	YNL233W	BNI4	1.3
247	YCL016C	DCC1	1.3
248	YKR091W	SRL3	1.3
249	YPR026W	ATH1	1.3
250	YDR103W	STE5	1.3
251	YGR292W	MAL12	1.3
252	YFR008W	FAR7	1.3
253	YJR095W	SFC1	1.3
254	YNR032W	PPG1	1.3
255	YGR153W	YGR153W	1.3
256	YBL038W	MRPL16	1.3
257	YLR178C	TFS1	1.3
258	YJL137C	GLG2	1.3
259	YHR184W	SSP1	1.3
260	YMR096W	SNZ1	1.3
261	YLR423C	ATG17	1.3
262	YGL124C	MON1	1.3
263	YBL019W	APN2	1.3
264	YJR153W	PGU1	1.3
265	YJR073C	OPI3	1.3
266	YIL156W	UBP7	1.3
267	YGL163C	RAD54	1.3
268	YBR050C	REG2	1.3
269	YLR080W	EMP46	1.3
270	YCR027C	RHB1	1.3
271	YDR009W	GAL3	1.3
272	YDR125C	ECM18	1.3
273	YBR272C	HSM3	1.3
274	YFR046C	CNN1	1.3
275	YLR070C	XYL2	1.3
276	YNL223W	ATG4	1.3
277	YGR239C	PEX21	1.3
278	YKR049C	FMP46	1.3
279	YDR475C	JIP4	1.3
280	YER096W	SHC1	1.3
281	YML078W	CPR3	1.3
282	YNR007C	ATG3	1.3
283	YGR028W	MSP1	1.3
284	YDL104C	QRI7	1.3
285	YML042W	CAT2	1.3
286	YGL259W	YPS5	1.3
287	YBR006W	UGA2	1.3
288	YPL054W	LEE1	1.3
289	YDR486C	VPS60	1.3
290	YIL117C	PRM5	1.3
291	YJL023C	PET130	1.3
292	YMR197C	VTI1	1.3
293	YEL060C	PRB1	1.3
294	YPL124W	SPC29	1.3
295	YOR065W	CYT1	1.3
296	YJL082W	IML2	1.3
297	YIL136W	OM45	1.3
298	YHR086W	NAM8	1.3
299	YFR047C	BNA6	1.3
300	YDR421W	ARO80	1.3
301	YLR265C	NEJ1	1.3
302	YJR094C	IME1	1.3
303	YNL309W	STB1	1.3
304	YEL012W	UBC8	1.3
305	YIR008C	PRI1	1.3
306	YIR039C	YPS6	1.3
307	YDR014W	RAD61	1.3
308	YDR313C	PIB1	1.3
309	YEL049W	PAU2	1.3
310	YMR092C	AIP1	1.3
311	YBR194W	AIM4	1.3
312	YBR280C	SAF1	1.3
313	YPL147W	PXA1	1.3
314	YDL004W	ATP16	1.3
315	YJR052W	RAD7	1.3
316	YLR376C	PSY3	1.3
317	YJR099W	YUH1	1.3
318	YGL047W	ALG13	1.3
319	YLR251W	SYM1	1.3
320	YIL113W	SDP1	1.3
321	YMR052W	FAR3	1.3
322	YJL072C	PSF2	1.3
323	YGL061C	DUO1	1.3
324	YAL062W	GDH3	1.3
325	YDL135C	RDI1	1.3
326	YBR076W	ECM8	1.3
327	YER098W	UBP9	1.3
328	YML132W	COS3	1.3
329	YDR298C	ATP5	1.3
330	YNL274C	GOR1	1.3
331	YGR263C	SAY1	1.3
332	YDR538W	PAD1	1.3
333	YDR092W	UBC13	1.3
334	YFL055W	AGP3	1.3
335	YCL061C	MRC1	1.3
336	YPL156C	PRM4	1.3
337	YIL070C	MAM33	1.3
338	YLR038C	COX12	1.3
339	YPR120C	CLB5	1.3
340	YGR288W	MAL13	1.3
341	YDR532C	KRE28	1.3
342	YGL045W	RIM8	1.3
343	YBR230C	OM14	1.3
344	YBR022W	POA1	1.3
345	YBR070C	ALG14	1.3
346	YHL006C	SHU1	1.3
347	YPL262W	FUM1	1.3
348	YDL085W	NDE2	1.3
349	YFR025C	HIS2	1.3
350	YOR391C	HSP33	1.3
351	YCL052C	PBN1	1.3
352	YER147C	SCC4	1.3
353	YMR095C	SNO1	1.3
354	YER095W	RAD51	1.3
355	YKL045W	PRI2	1.3
356	YHR015W	MIP6	1.3
357	YLR151C	PCD1	1.3
358	YKL224C	PAU16	1.3
359	YGL098W	USE1	1.3
360	YCR068W	ATG15	1.3
361	YGL249W	ZIP2	1.3
362	YER139C	RTR1	1.3
363	YDR540C	IRC4	1.3
364	YDR315C	IPK1	1.3
365	YER015W	FAA2	1.3
366	YMR017W	SPO20	1.3
367	YER104W	RTT105	1.3
368	YOR132W	VPS17	1.3
369	YJL073W	JEM1	1.3
370	YPL099C	INA17	1.3
371	YLR394W	CST9	1.3
372	YBL015W	ACH1	1.3
373	YIL072W	HOP1	1.3
374	YNR001C	CIT1	1.3
375	YFR023W	PES4	1.3
376	YKR046C	PLN1	1.3
377	YIR037W	HYR1	1.3
378	YIL009W	FAA3	1.3
379	YNL055C	POR1	1.3
380	YBR107C	IML3	1.3
381	YDR148C	KGD2	1.3
382	YNL128W	TEP1	1.3
383	YDR322W	MRPL35	1.3
384	YLR136C	TIS11	1.3
385	YDR031W	MIX14	1.3
386	YDR216W	ADR1	1.3
387	YJL057C	IKS1	1.3
388	YOL017W	ESC8	1.3
389	YDL105W	NSE4	1.3
390	YBR201W	DER1	1.3
391	YDL097C	RPN6	1.3
392	YHR051W	COX6	1.3
393	YNL052W	COX5A	1.3
394	YER058W	PET117	1.3
395	YJL155C	FBP26	1.3
396	YGL187C	COX4	1.3
397	YBR293W	VBA2	1.3
398	YPR193C	HPA2	1.3
399	YDL243C	AAD4	1.3
400	YMR097C	MTG1	1.3
401	YCL033C	MXR2	1.3
402	YNL202W	SPS19	1.3
403	YPL177C	CUP9	1.3
404	YOR335C	ALA1	1.3
405	YBR019C	GAL10	1.3
406	YBR094W	PBY1	1.3
407	YER118C	SHO1	1.3
408	YBR054W	YRO2	1.3
409	YIR038C	GTT1	1.3
410	YGR244C	LSC2	1.3
411	YHL022C	SPO11	1.3
412	YJL166W	QCR8	1.3
413	YDR501W	PLM2	1.3
414	YDR275W	BSC2	1.3
415	YDR218C	SPR28	1.3
416	YHR091C	MSR1	1.3
417	YKL188C	PXA2	1.3
418	YGR040W	KSS1	1.3
419	YDR320C	SWA2	1.3
420	YOR150W	MRPL23	1.3
421	YBR299W	MAL32	1.3
422	YDL169C	UGX2	1.3
423	YLR213C	CRR1	1.3
424	YIL146C	ATG32	1.3
425	YDR016C	DAD1	1.3
426	YDR490C	PKH1	1.3
427	YLR135W	SLX4	1.3
428	YDR005C	MAF1	1.3
429	YDR122W	KIN1	1.3
430	YOR177C	MPC54	1.3
431	YKL085W	MDH1	1.3
432	YDL210W	UGA4	1.3
433	YBL098W	BNA4	1.3
434	YMR068W	AVO2	1.3
435	YOL104C	NDJ1	1.3
436	YNL304W	YPT11	1.3
437	YKR061W	KTR2	1.3
438	YIL155C	GUT2	1.3
439	YKL124W	SSH4	1.3
440	YGR243W	MPC3	1.3
441	YIL093C	RSM25	1.3
442	YNL269W	BSC4	1.3
443	YJR125C	ENT3	1.3
444	YEL059C-A	SOM1	1.3
445	YDR285W	ZIP1	1.3
446	YDR079W	PET100	1.3
447	YJR152W	DAL5	1.3
448	YDR386W	MUS81	1.3
449	YKR098C	UBP11	1.3
450	YLR121C	YPS3	1.3
451	YDR479C	PEX29	1.3
452	YDR004W	RAD57	1.3
453	YDR162C	NBP2	1.3
454	YER143W	DDI1	1.3
455	YJL223C	PAU1	1.3
456	YHR198C	AIM18	1.3
457	YLR102C	APC9	1.3
458	YJL003W	COX16	1.3
459	YGR221C	TOS2	1.3
460	YJL201W	ECM25	1.3
461	YDR400W	URH1	1.3
462	YEL005C	VAB2	1.3
463	YMR275C	BUL1	1.3
464	YMR104C	YPK2	1.3
465	YCL031C	RRP7	1.3
466	YDL139C	SCM3	1.3
467	YNL270C	ALP1	1.3
468	YOL122C	SMF1	1.3
469	YDR358W	GGA1	1.3
470	YIL101C	XBP1	1.3
471	YLR273C	PIG1	1.3
472	YNL082W	PMS1	1.3
473	YOL044W	PEX15	1.3
474	YHL031C	GOS1	1.3
475	YDR511W	SDH7	1.3
476	YGR295C	COS6	1.3
477	YOR120W	GCY1	1.3
478	YNL237W	YTP1	1.3
479	YBR268W	MRPL37	1.3
480	YKL103C	APE1	1.3
481	YPL060W	MFM1	1.3
482	YER062C	GPP2	1.3
483	YGR062C	COX18	1.3
484	YDL035C	GPR1	1.3
485	YML070W	DAK1	1.3
486	YKR052C	MRS4	1.3
487	YGR080W	TWF1	1.3
488	YJL221C	IMA4	1.3
489	YLR382C	NAM2	1.3
490	YPR007C	REC8	1.3
491	YNL160W	YGP1	1.3
492	YHR002W	LEU5	1.3
493	YDR237W	MRPL7	1.3
494	YDR461W	MFA1	1.3
495	YOL126C	MDH2	1.3
496	YLR004C	THI73	1.3
497	YGL062W	PYC1	1.3
498	YLR299W	ECM38	1.3
499	YDR096W	GIS1	1.3
500	YPR135W	CTF4	1.3
501	YMR157C	AIM36	1.3
502	YDL103C	QRI1	1.3
503	YIL084C	SDS3	1.3
504	YAR020C	PAU7	1.3
505	YHR014W	SPO13	1.3
506	YNL187W	SWT21	1.3
507	YMR025W	CSI1	1.3
508	YBR148W	YSW1	1.3
509	YOR036W	PEP12	1.3
510	YMR101C	SRT1	1.3
511	YHR160C	PEX18	1.3
512	YDR032C	PST2	1.3
513	YKR037C	SPC34	1.3
514	YDL115C	IWR1	1.3
515	YOR258W	HNT3	1.3
516	YGR238C	KEL2	1.3
517	YDR305C	HNT2	1.3
518	YPL164C	MLH3	1.3
519	YJL031C	BET4	1.3
520	YMR105C	PGM2	1.3
521	YIL160C	POT1	1.3
522	YOR071C	NRT1	1.3
523	YKL221W	MCH2	1.3
524	YHR137W	ARO9	1.3
525	YDL045C	FAD1	1.3
526	YOR213C	SAS5	1.3
527	YPL249C	GYP5	1.3
528	YDR512C	EMI1	1.3
529	YDR183W	PLP1	1.3
530	YDL181W	INH1	1.3
531	YPR093C	ASR1	1.3
532	YIL107C	PFK26	1.3
533	YLR457C	NBP1	1.3
534	YGL055W	OLE1	1.3
535	YPR002W	PDH1	1.3
536	YNL159C	ASI2	1.3
537	YPR175W	DPB2	1.3
538	YKL016C	ATP7	1.3
539	YGL001C	ERG26	1.3
540	YNL177C	MRPL22	1.3
541	YHR153C	SPO16	1.3
542	YIL045W	PIG2	1.3
543	YPL163C	SVS1	1.3
544	YOR212W	STE4	1.3
545	YIL153W	RRD1	1.3
546	YHR178W	STB5	1.3
547	YER145C	FTR1	1.3
548	YHR110W	ERP5	1.3
549	YBL064C	PRX1	1.3
550	YKL213C	DOA1	1.3
551	YKL167C	MRP49	1.3
552	YOL090W	MSH2	1.3
553	YGL051W	MST27	1.3
554	YKR024C	DBP7	1.3
555	YER106W	MAM1	1.3
556	YOR052C	TMC1	1.3
557	YER185W	PUG1	1.3
558	YJL161W	FMP33	1.3
559	YDR001C	NTH1	1.3
560	YMR110C	HFD1	1.3
561	YFR052W	RPN12	1.3
562	YOR144C	ELG1	1.3
563	YEL019C	MMS21	1.3
564	YLR154C	RNH203	1.3
565	YBR077C	SLM4	1.3
566	YGL011C	SCL1	1.3
567	YGR101W	PCP1	1.3
568	YGL059W	PKP2	1.3
569	YDR279W	RNH202	1.3
570	YEL024W	RIP1	1.3
571	YPR139C	LOA1	1.3
572	YIR031C	DAL7	1.3
573	YGL134W	PCL10	1.3
574	YMR040W	YET2	1.3
575	YPL222W	FMP40	1.3
576	YLR054C	OSW2	1.3
577	YCL048W	SPS22	1.3
578	YDR462W	MRPL28	1.3
579	YNL025C	SSN8	1.3
580	YLR452C	SST2	1.3
581	YFL008W	SMC1	1.3
582	YDR350C	ATP22	1.3
583	YLR165C	PUS5	1.3
584	YPR199C	ARR1	1.3
585	YOR347C	PYK2	1.3
586	YCR038C	BUD5	1.3
587	YLR239C	LIP2	1.3
588	YPR066W	UBA3	1.3
589	YBR186W	PCH2	1.3
590	YPL256C	CLN2	1.3
591	YGL127C	SOH1	1.3
592	YOR134W	BAG7	1.3
593	YDR036C	EHD3	1.3
594	YJL126W	NIT2	1.3
595	YHR087W	RTC3	1.3
596	YGR043C	NQM1	1.3
597	YOR266W	PNT1	1.3
598	YLL022C	HIF1	1.3
599	YBL090W	MRP21	1.3
600	YJR004C	SAG1	1.3
601	YBL078C	ATG8	1.3
602	YHR154W	RTT107	1.3
603	YGL023C	PIB2	1.3
604	YPL148C	PPT2	1.3
605	YIL097W	FYV10	1.3
606	YGR100W	MDR1	1.3
607	YHR129C	ARP1	1.3
608	YDR369C	XRS2	1.3
609	YPL166W	ATG29	1.3
610	YDL091C	UBX3	1.3
611	YDR085C	AFR1	1.3
612	YDR377W	ATP17	1.3
613	YKL119C	VPH2	1.3
614	YLL060C	GTT2	1.3
615	YKL104C	GFA1	1.3
616	YOR328W	PDR10	1.3
617	YGR152C	RSR1	1.3
618	YLR327C	TMA10	1.3
619	YMR200W	ROT1	1.3
620	YJL157C	FAR1	1.3
621	YGL250W	RMR1	1.3
622	YPR184W	GDB1	1.3
623	YIL159W	BNR1	1.3
624	YDL120W	YFH1	1.3
625	YJR103W	URA8	1.3
626	YFL027C	GYP8	1.3
627	YJR144W	MGM101	1.3
628	YJR101W	RSM26	1.3
629	YGR169C	PUS6	1.3
630	YGR189C	CRH1	1.3
631	YHR096C	HXT5	1.2
632	YJR131W	MNS1	1.2
633	YMR053C	STB2	1.2
634	YMR024W	MRPL3	1.2
635	YOR035C	SHE4	1.2
636	YNL192W	CHS1	1.2
637	YNL231C	PDR16	1.2
638	YBR039W	ATP3	1.2
639	YHR157W	REC104	1.2
640	YIL125W	KGD1	1.2
641	YMR267W	PPA2	1.2
642	YGR070W	ROM1	1.2
643	YFL029C	CAK1	1.2
644	YDL069C	CBS1	1.2
645	YER065C	ICL1	1.2
646	YDR003W	RCR2	1.2
647	YDL149W	ATG9	1.2
648	YBR275C	RIF1	1.2
649	YDR318W	MCM21	1.2
650	YBR193C	MED8	1.2
651	YJL116C	NCA3	1.2
652	YFL020C	PAU5	1.2
653	YGR036C	CAX4	1.2
654	YDR513W	GRX2	1.2
655	YML061C	PIF1	1.2
656	YKL178C	STE3	1.2
657	YBR024W	SCO2	1.2
658	YBR223C	TDP1	1.2
659	YKR101W	SIR1	1.2
660	YBL043W	ECM13	1.2
661	YKL113C	RAD27	1.2
662	YNL225C	CNM67	1.2
663	YDR231C	COX20	1.2
664	YCR020C	PET18	1.2
665	YDL093W	PMT5	1.2
666	YIR017C	MET28	1.2
667	YKL049C	CSE4	1.2
668	YIL007C	NAS2	1.2
669	YOL065C	INP54	1.2
670	YHR008C	SOD2	1.2
671	YMR041C	ARA2	1.2
672	YGR256W	GND2	1.2
673	YNL142W	MEP2	1.2
674	YHR175W	CTR2	1.2
675	YDR423C	CAD1	1.2
676	YAL047C	SPC72	1.2
677	YJL102W	MEF2	1.2
678	YGR257C	MTM1	1.2
679	YGR135W	PRE9	1.2
680	YNL306W	MRPS18	1.2
681	YPL110C	GDE1	1.2
682	YER116C	SLX8	1.2
683	YBR001C	NTH2	1.2
684	YGR286C	BIO2	1.2
685	YFL041W	FET5	1.2
686	YLL041C	SDH2	1.2
687	YPL248C	GAL4	1.2
688	YKL089W	MIF2	1.2
689	YLR157C	ASP3-2	1.2
690	YOR142W	LSC1	1.2
691	YMR076C	PDS5	1.2
692	YHR106W	TRR2	1.2
693	YBR045C	GIP1	1.2
694	YMR225C	MRPL44	1.2
695	YKL069W	YKL069W	1.2
696	YBR110W	ALG1	1.2
697	YCR060W	TAH1	1.2
698	YDL204W	RTN2	1.2
699	YHR037W	PUT2	1.2
700	YFL005W	SEC4	1.2
701	YER038C	KRE29	1.2
702	YGL166W	CUP2	1.2
703	YKL165C	MCD4	1.2
704	YLR288C	MEC3	1.2
705	YDR362C	TFC6	1.2
706	YER012W	PRE1	1.2
707	YBR250W	SPO23	1.2
708	YOR016C	ERP4	1.2
709	YGR194C	XKS1	1.2
710	YOR163W	DDP1	1.2
711	YER070W	RNR1	1.2
712	YDL194W	SNF3	1.2
713	YBR132C	AGP2	1.2
714	YLR411W	CTR3	1.2
715	YGR010W	NMA2	1.2
716	YNR045W	PET494	1.2
717	YBR171W	SEC66	1.2
718	YDR453C	TSA2	1.2
719	YKR062W	TFA2	1.2
720	YLR390W	ECM19	1.2
721	YHR139C	SPS100	1.2
722	YJR102C	VPS25	1.2
723	YKR087C	OMA1	1.2
724	YJL219W	HXT9	1.2
725	YJR086W	STE18	1.2
726	YOL082W	ATG19	1.2
727	YOR042W	CUE5	1.2
728	YDR270W	CCC2	1.2
729	YPL119C	DBP1	1.2
730	YDR482C	CWC21	1.2
731	YDR441C	APT2	1.2
732	YDR478W	SNM1	1.2
733	YIL157C	COA1	1.2
734	YKL142W	MRP8	1.2
735	YDR104C	SPO71	1.2
736	YKL065C	YET1	1.2
737	YKL025C	PAN3	1.2
738	YGR133W	PEX4	1.2
739	YPL230W	USV1	1.2
740	YNL336W	COS1	1.2
741	YGR181W	TIM13	1.2
742	YER033C	ZRG8	1.2
743	YPL271W	ATP15	1.2
744	YPR075C	OPY2	1.2
745	YFR029W	PTR3	1.2
746	YDR258C	HSP78	1.2
747	YFR043C	IRC6	1.2
748	YFR004W	RPN11	1.2
749	YDL110C	TMA17	1.2
750	YFR024C-A	LSB3	1.2
751	YAL055W	PEX22	1.2
752	YJL115W	ASF1	1.2
753	YER054C	GIP2	1.2
754	YFL036W	RPO41	1.2
755	YIL172C	IMA3	1.2
756	YNL021W	HDA1	1.2
757	YIL167W	SDL1	1.2
758	YLL057C	JLP1	1.2
759	YML100W	TSL1	1.2
760	YGR215W	RSM27	1.2
761	YGL180W	ATG1	1.2
762	YBR146W	MRPS9	1.2
763	YGL191W	COX13	1.2
764	YJL037W	IRC18	1.2
765	YMR135C	GID8	1.2
766	YHR109W	CTM1	1.2
767	YIL073C	SPO22	1.2
768	YDR251W	PAM1	1.2
769	YFR014C	CMK1	1.2
770	YFL042C	LAM5	1.2
771	YDR259C	YAP6	1.2
772	YJL140W	RPB4	1.2
773	YGR163W	GTR2	1.2
774	YAL007C	ERP2	1.2
775	YLR258W	GSY2	1.2
776	YDR317W	HIM1	1.2
777	YJL045W	SDH9	1.2
778	YOL117W	RRI2	1.2
779	YOR100C	CRC1	1.2
780	YKL079W	SMY1	1.2
781	YML101C	CUE4	1.2
782	YBL021C	HAP3	1.2
783	YEL062W	NPR2	1.2
784	YGL104C	VPS73	1.2
785	YLR267W	BOP2	1.2
786	YBR018C	GAL7	1.2
787	YDR294C	DPL1	1.2
788	YLR115W	CFT2	1.2
789	YNL073W	MSK1	1.2
790	YGR084C	MRP13	1.2
791	YHR059W	FYV4	1.2
792	YAR035W	YAT1	1.2
793	YKL087C	CYT2	1.2
794	YMR136W	GAT2	1.2
795	YHR195W	NVJ1	1.2
796	YJL106W	IME2	1.2
797	YHL040C	ARN1	1.2
798	YNL265C	IST1	1.2
799	YGL240W	DOC1	1.2
800	YPL057C	SUR1	1.2
801	YMR026C	PEX12	1.2
802	YIL034C	CAP2	1.2
803	YML057W	CMP2	1.2
804	YHR011W	DIA4	1.2
805	YDL223C	HBT1	1.2
806	YBR014C	GRX7	1.2
807	YMR156C	TPP1	1.2
808	YDR446W	ECM11	1.2
809	YCR014C	POL4	1.2
810	YIL049W	DFG10	1.2
811	YMR056C	AAC1	1.2
812	YGR029W	ERV1	1.2
813	YGL091C	NBP35	1.2
814	YAL067C	SEO1	1.2
815	YPL149W	ATG5	1.2
816	YDR376W	ARH1	1.2
817	YHR105W	YPT35	1.2
818	YLL019C	KNS1	1.2
819	YJR021C	REC107	1.2
820	YGL141W	HUL5	1.2
821	YLR035C	MLH2	1.2
822	YMR021C	MAC1	1.2
823	YGL027C	CWH41	1.2
824	YBL035C	POL12	1.2
825	YMR119W	ASI1	1.2
