SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VAR1

Rank	Gene	Common	Score
Q	Q0140	VAR1	
1	Q0075	AI5_BETA	2.0
2	Q0110	BI2	2.0
3	Q0120	BI4	2.0
4	Q0275	COX3	1.9
5	Q0115	BI3	1.8
6	Q0080	ATP8	1.8
7	Q0250	COX2	1.8
8	Q0045	COX1	1.7
9	Q0050	AI1	1.7
10	Q0160	SCEI	1.7
11	Q0055	AI2	1.6
12	Q0085	ATP6	1.6
13	Q0065	AI4	1.6
14	Q0130	OLI1	1.6
15	Q0105	COB	1.5
16	Q0060	AI3	1.5
17	Q0070	AI5_ALPHA	1.4
18	Q0255	Q0255	1.2
19	YAL063C	FLO9	1.2
20	YDR446W	ECM11	1.0
21	YHR021W-A	ECM12	1.0
22	YPL021W	ECM23	1.0
23	YHR014W	SPO13	1.0
24	YCR097W	HMRA1	1.0
25	YGL178W	MPT5	1.0
26	YHR185C	PFS1	1.0
27	YCL037C	SRO9	1.0
28	Q0182	Q0182	1.0
29	YOR255W	OSW1	1.0
30	YLL036C	PRP19	1.0
31	YGL194C	HOS2	0.9
32	YHR099W	TRA1	0.9
33	YGR249W	MGA1	0.9
34	YLL056C	YLL056C	0.9
35	YML087C	AIM33	0.9
36	YBL067C	UBP13	0.9
37	YPL201C	YIG1	0.9
38	YHR134W	WSS1	0.9
39	YLL013C	PUF3	0.9
40	YHR044C	DOG1	0.9
41	YDL181W	INH1	0.9
42	YOR113W	AZF1	0.9
43	YGL158W	RCK1	0.9
44	YPL130W	SPO19	0.9
45	YBR120C	CBP6	0.9
46	YFL036W	RPO41	0.9
47	YGL222C	EDC1	0.9
48	YDR463W	STP1	0.9
49	YMR256C	COX7	0.9
50	YCL052C	PBN1	0.9
51	YLR013W	GAT3	0.9
52	YBL047C	EDE1	0.9
53	YEL021W	URA3	0.9
54	YJR108W	ABM1	0.9
55	YPL016W	SWI1	0.9
56	YDR522C	SPS2	0.9
57	YDL210W	UGA4	0.9
58	YKL107W	YKL107W	0.9
59	YOL156W	HXT11	0.9
60	YKL005C	BYE1	0.9
61	YCR083W	TRX3	0.9
62	YIR033W	MGA2	0.9
63	YGR247W	CPD1	0.9
64	YER183C	FAU1	0.9
65	YDR424C	DYN2	0.9
66	YBR037C	SCO1	0.9
67	YBR019C	GAL10	0.9
68	YJL166W	QCR8	0.9
69	YAL040C	CLN3	0.9
70	YNL262W	POL2	0.9
71	YHR184W	SSP1	0.8
72	Q0297	Q0297	0.8
73	YBR180W	DTR1	0.8
74	YJL214W	HXT8	0.8
75	YDR529C	QCR7	0.8
76	YMR180C	CTL1	0.8
77	YLR071C	RGR1	0.8
78	YDL067C	COX9	0.8
79	YDR169C	STB3	0.8
80	YPL154C	PEP4	0.8
81	YDR315C	IPK1	0.8
82	YLR332W	MID2	0.8
83	YER114C	BOI2	0.8
84	YMR306W	FKS3	0.8
85	YGR141W	VPS62	0.8
86	YBR203W	COS111	0.8
87	YJR156C	THI11	0.8
88	YOR008C	SLG1	0.8
89	YBR156C	SLI15	0.8
90	YPL248C	GAL4	0.8
91	YHR059W	FYV4	0.8
92	YBR049C	REB1	0.8
93	YPL189W	GUP2	0.8
94	YER098W	UBP9	0.8
95	YAL064C-A	TDA8	0.8
96	YBL004W	UTP20	0.8
97	YOR014W	RTS1	0.8
98	YPR020W	ATP20	0.8
99	YIL128W	MET18	0.8
100	YBR275C	RIF1	0.8
101	YOR317W	FAA1	0.8
102	YOR355W	GDS1	0.8
103	YBL099W	ATP1	0.8
104	YBR240C	THI2	0.8
105	YMR052W	FAR3	0.8
106	YML047C	PRM6	0.8
107	YGR217W	CCH1	0.8
108	YML066C	SMA2	0.8
109	YPL089C	RLM1	0.8
110	YJL084C	ALY2	0.8
111	YHL038C	CBP2	0.8
112	YJR077C	MIR1	0.8
113	YOR017W	PET127	0.8
114	YGL032C	AGA2	0.8
115	YDL160C	DHH1	0.8
116	YCR008W	SAT4	0.8
117	YDR402C	DIT2	0.8
118	YOR384W	FRE5	0.8
119	YOR351C	MEK1	0.8
120	YDR175C	RSM24	0.8
121	YNR070W	PDR18	0.8
122	YMR286W	MRPL33	0.8
123	YNL103W	MET4	0.8
124	YOR373W	NUD1	0.8
125	YJL039C	NUP192	0.8
126	YKL038W	RGT1	0.8
127	YLR354C	TAL1	0.8
128	YGL262W	YGL262W	0.8
129	YKL182W	FAS1	0.8
130	YKL167C	MRP49	0.8
131	YDR420W	HKR1	0.8
132	YPL005W	AEP3	0.8
133	YOR267C	HRK1	0.8
134	YGL205W	POX1	0.8
135	YOL089C	HAL9	0.8
136	YNL172W	APC1	0.8
137	YNR037C	RSM19	0.8
138	YMR106C	YKU80	0.8
139	YBR263W	SHM1	0.8
140	YIL101C	XBP1	0.8
141	YPL118W	MRP51	0.8
142	YDL105W	NSE4	0.8
143	YOR147W	MDM32	0.8
144	YNL306W	MRPS18	0.8
145	YDR298C	ATP5	0.8
146	YOR065W	CYT1	0.8
147	YDR475C	JIP4	0.8
148	YGL175C	SAE2	0.8
149	YOL077W-A	ATP19	0.8
150	YPL057C	SUR1	0.8
151	YGR082W	TOM20	0.8
152	YBR105C	VID24	0.8
153	YDR409W	SIZ1	0.8
154	YER046W	SPO73	0.8
155	YLR010C	TEN1	0.8
156	YDR163W	CWC15	0.8
157	YDL058W	USO1	0.8
158	YDR277C	MTH1	0.8
159	YAL010C	MDM10	0.8
160	YBR039W	ATP3	0.8
161	YIL125W	KGD1	0.8
162	YFR033C	QCR6	0.8
163	YJR120W	DMO1	0.8
164	YFR057W	YFR057W	0.8
165	YNR016C	ACC1	0.8
166	YDR076W	RAD55	0.8
167	YMR092C	AIP1	0.8
168	YER047C	SAP1	0.8
169	YFL003C	MSH4	0.8
170	YKL150W	MCR1	0.8
171	YGL129C	RSM23	0.8
172	YLR320W	MMS22	0.8
173	YLR427W	MAG2	0.8
174	YPL137C	GIP3	0.8
175	YKR098C	UBP11	0.8
176	YIL031W	ULP2	0.8
177	YLR162W	YLR162W	0.8
178	YPR166C	MRP2	0.8
179	YMR056C	AAC1	0.8
180	YGL208W	SIP2	0.8
181	YPL024W	RMI1	0.8
182	YJR059W	PTK2	0.8
183	YPR049C	ATG11	0.8
184	YER018C	SPC25	0.8
185	YBL037W	APL3	0.8
186	YDR079W	PET100	0.8
187	YJR066W	TOR1	0.8
188	YGR244C	LSC2	0.8
189	YPL192C	PRM3	0.8
190	YOR058C	ASE1	0.8
191	YGL183C	MND1	0.8
192	YOR202W	HIS3	0.8
193	YDR462W	MRPL28	0.8
194	YFL041W	FET5	0.8
195	YML091C	RPM2	0.8
196	YPL020C	ULP1	0.8
197	YLR410W	VIP1	0.8
198	YER125W	RSP5	0.8
199	YPL213W	LEA1	0.8
200	YMR227C	TAF7	0.8
201	YDL019C	OSH2	0.8
202	YPL271W	ATP15	0.8
203	YPR008W	HAA1	0.8
204	YDR213W	UPC2	0.8
205	YNL136W	EAF7	0.8
206	YMR232W	FUS2	0.8
207	YLR019W	PSR2	0.8
208	YKL006C-A	SFT1	0.8
209	YDL049C	KNH1	0.8
210	YLR403W	SFP1	0.8
211	YGR183C	QCR9	0.8
212	YHR165C	PRP8	0.8
213	YML081C-A	ATP18	0.8
214	YNL117W	MLS1	0.8
215	YDR405W	MRP20	0.8
216	YDR486C	VPS60	0.8
217	YMR280C	CAT8	0.8
218	YNL139C	THO2	0.8
219	YLR012C	YLR012C	0.8
220	YBL074C	AAR2	0.8
221	YOL052C-A	DDR2	0.8
222	YMR219W	ESC1	0.8
223	YCL001W-A	YCL001W-A	0.8
224	YOR031W	CRS5	0.8
225	YDR114C	YDR114C	0.8
226	YGL150C	INO80	0.8
227	YOL100W	PKH2	0.8
228	YGR023W	MTL1	0.8
229	YDL113C	ATG20	0.8
230	YBR230C	OM14	0.8
231	YLR038C	COX12	0.8
232	YOR265W	RBL2	0.8
233	YDR322C-A	TIM11	0.8
234	YNL014W	HEF3	0.8
235	YNL242W	ATG2	0.8
236	YNR072W	HXT17	0.8
237	YCR093W	CDC39	0.8
238	YNL167C	SKO1	0.8
239	YNL294C	RIM21	0.8
240	YBR207W	FTH1	0.8
241	YAL065C	YAL065C	0.8
242	YNL009W	IDP3	0.8
243	YER155C	BEM2	0.8
244	YBR172C	SMY2	0.8
245	YGR089W	NNF2	0.8
246	YEL035C	UTR5	0.8
247	YOL051W	GAL11	0.8
248	YLR385C	SWC7	0.8
249	YIR013C	GAT4	0.8
250	YDL087C	LUC7	0.8
251	YNL020C	ARK1	0.8
252	YER111C	SWI4	0.8
253	YNL015W	PBI2	0.8
254	YPL069C	BTS1	0.8
255	YLR395C	COX8	0.8
256	YBL034C	STU1	0.8
257	YOR148C	SPP2	0.8
258	Q0143	Q0143	0.8
259	YML074C	FPR3	0.8
260	YLR351C	NIT3	0.8
261	YLR398C	SKI2	0.8
262	YMR323W	ERR3	0.8
263	YMR037C	MSN2	0.8
264	YAL041W	CDC24	0.8
265	YLR223C	IFH1	0.8
266	YBR251W	MRPS5	0.8
267	YKL138C	MRPL31	0.8
268	YJR118C	ILM1	0.8
269	YLR067C	PET309	0.8
270	YDR129C	SAC6	0.8
271	YGL195W	GCN1	0.8
272	YOR171C	LCB4	0.8
273	YBL045C	COR1	0.8
274	YOL042W	NGL1	0.8
275	YLL019C	KNS1	0.8
276	YDR430C	CYM1	0.8
277	YDR127W	ARO1	0.8
278	YLR106C	REA1	0.8
279	YPL188W	POS5	0.8
280	YER040W	GLN3	0.8
281	YPL084W	BRO1	0.8
282	YGL033W	HOP2	0.8
283	YGL191W	COX13	0.8
284	YCL058C	FYV5	0.8
285	YPL181W	CTI6	0.7
286	YOL081W	IRA2	0.7
287	YPL124W	SPC29	0.7
288	YPL172C	COX10	0.7
289	YPL078C	ATP4	0.7
290	YOL084W	PHM7	0.7
291	YNL318C	HXT14	0.7
292	YPL119C	DBP1	0.7
293	YOR279C	RFM1	0.7
294	YMR075W	RCO1	0.7
295	YMR203W	TOM40	0.7
296	YDR178W	SDH4	0.7
297	YMR225C	MRPL44	0.7
298	YBR114W	RAD16	0.7
299	YBR282W	MRPL27	0.7
300	YBR115C	LYS2	0.7
301	YDR150W	NUM1	0.7
302	YJL042W	MHP1	0.7
303	YPL103C	FMP30	0.7
304	YML046W	PRP39	0.7
305	YBL079W	NUP170	0.7
306	YDR031W	MIX14	0.7
307	YGL251C	HFM1	0.7
308	YIL054W	YIL054W	0.7
309	YCR003W	MRPL32	0.7
310	YPR032W	SRO7	0.7
311	YDR006C	SOK1	0.7
312	YDR375C	BCS1	0.7
313	YOR244W	ESA1	0.7
314	YMR297W	PRC1	0.7
315	YDR485C	VPS72	0.7
316	YNL278W	CAF120	0.7
317	YGL192W	IME4	0.7
318	YJR135C	MCM22	0.7
319	YBR290W	BSD2	0.7
320	YNR039C	ZRG17	0.7
321	YDR159W	SAC3	0.7
322	YPR168W	NUT2	0.7
323	YGR144W	THI4	0.7
324	YDR244W	PEX5	0.7
325	YOR388C	FDH1	0.7
326	YDL122W	UBP1	0.7
327	YNL074C	MLF3	0.7
328	YER017C	AFG3	0.7
329	YDR139C	RUB1	0.7
330	YDR457W	TOM1	0.7
331	YLR148W	PEP3	0.7
332	YAR035W	YAT1	0.7
333	YJL141C	YAK1	0.7
334	YOR178C	GAC1	0.7
335	YGR197C	SNG1	0.7
336	YNL249C	MPA43	0.7
337	YDL066W	IDP1	0.7
338	YBR150C	TBS1	0.7
339	YGL049C	TIF4632	0.7
340	YDL145C	COP1	0.7
341	YMR207C	HFA1	0.7
342	YIR005W	IST3	0.7
343	YEL018W	EAF5	0.7
344	YPR040W	TIP41	0.7
345	YML071C	COG8	0.7
346	YGR037C	ACB1	0.7
347	YHR211W	FLO5	0.7
348	YDL037C	BSC1	0.7
349	YER039C	HVG1	0.7
350	YAL024C	LTE1	0.7
351	YCL024W	KCC4	0.7
352	YJR053W	BFA1	0.7
353	YGL062W	PYC1	0.7
354	YPL085W	SEC16	0.7
355	YMR145C	NDE1	0.7
356	YLR314C	CDC3	0.7
357	YPL054W	LEE1	0.7
358	YHR082C	KSP1	0.7
359	YHR160C	PEX18	0.7
360	YGR225W	AMA1	0.7
361	YMR164C	MSS11	0.7
362	YFL030W	AGX1	0.7
363	YLR305C	STT4	0.7
364	YDL070W	BDF2	0.7
365	YMR135C	GID8	0.7
366	YLR445W	GMC2	0.7
367	YMR202W	ERG2	0.7
368	YOR341W	RPA190	0.7
369	YMR140W	SIP5	0.7
370	YBR148W	YSW1	0.7
371	YDR176W	NGG1	0.7
372	YPL161C	BEM4	0.7
373	YIR006C	PAN1	0.7
374	YKL141W	SDH3	0.7
375	YBR076W	ECM8	0.7
376	YDR495C	VPS3	0.7
377	YDR237W	MRPL7	0.7
378	YGR271W	SLH1	0.7
379	YNL271C	BNI1	0.7
380	YLR204W	QRI5	0.7
381	YBR140C	IRA1	0.7
382	YDL114W	YDL114W	0.7
383	YPR191W	QCR2	0.7
384	YGL249W	ZIP2	0.7
385	YDL140C	RPO21	0.7
386	YJR150C	DAN1	0.7
387	YDR326C	YSP2	0.7
388	YAL033W	POP5	0.7
389	YPL121C	MEI5	0.7
390	YJR121W	ATP2	0.7
391	YGL259W	YPS5	0.7
392	YDR377W	ATP17	0.7
393	YLR399C	BDF1	0.7
394	YPL032C	SVL3	0.7
395	YDR106W	ARP10	0.7
396	YNL202W	SPS19	0.7
397	YLR411W	CTR3	0.7
398	YMR156C	TPP1	0.7
399	YGR098C	ESP1	0.7
400	YCR040W	MATALPHA1	0.7
401	YDR216W	ADR1	0.7
402	YPL164C	MLH3	0.7
403	YOR142W	LSC1	0.7
404	YLL041C	SDH2	0.7
405	YDR511W	SDH7	0.7
406	YDL244W	THI13	0.7
407	YJL129C	TRK1	0.7
408	YFR048W	RMD8	0.7
409	YBR299W	MAL32	0.7
410	YER123W	YCK3	0.7
411	YIR009W	MSL1	0.7
412	YGR075C	PRP38	0.7
413	YDL008W	APC11	0.7
414	YGL215W	CLG1	0.7
415	YPL097W	MSY1	0.7
416	YIL097W	FYV10	0.7
417	YDR208W	MSS4	0.7
418	YOR196C	LIP5	0.7
419	YLR367W	RPS22B	0.7
420	YLR035C	MLH2	0.7
421	YDR504C	SPG3	0.7
422	YDL130W-A	STF1	0.7
423	YKL054C	DEF1	0.7
424	YDR356W	SPC110	0.7
425	YDL132W	CDC53	0.7
426	YDR052C	DBF4	0.7
427	YAL026C	DRS2	0.7
428	YKR096W	ESL2	0.7
429	YOL069W	NUF2	0.7
430	YBR250W	SPO23	0.7
431	YDR525W-A	SNA2	0.7
432	YIL045W	PIG2	0.7
433	YLR135W	SLX4	0.7
434	YKL085W	MDH1	0.7
435	YKL020C	SPT23	0.7
436	YNL055C	POR1	0.7
437	YML034W	SRC1	0.7
438	YLR138W	NHA1	0.7
439	YJL036W	SNX4	0.7
440	YKL148C	SDH1	0.7
441	YBR132C	AGP2	0.7
442	YER008C	SEC3	0.7
443	YDL204W	RTN2	0.7
444	YDR293C	SSD1	0.7
445	YGL019W	CKB1	0.7
446	YOR187W	TUF1	0.7
447	YNL239W	LAP3	0.7
448	YGL006W	PMC1	0.7
449	YBR089C-A	NHP6B	0.7
450	YLR227C	ADY4	0.7
451	YPL017C	IRC15	0.7
452	YPL027W	SMA1	0.7
453	YFL016C	MDJ1	0.7
454	YDL245C	HXT15	0.7
455	YNL088W	TOP2	0.7
456	YKR082W	NUP133	0.7
457	YBR086C	IST2	0.7
458	YDR122W	KIN1	0.7
459	YLR215C	CDC123	0.7
460	YDR489W	SLD5	0.7
461	YGR076C	MRPL25	0.7
462	YEL059C-A	SOM1	0.7
463	YJL210W	PEX2	0.7
464	YMR168C	CEP3	0.7
465	YPL145C	KES1	0.7
466	YHR118C	ORC6	0.7
467	YBR215W	HPC2	0.7
468	YGR030C	POP6	0.7
469	YHR001W-A	QCR10	0.7
470	YJL047C	RTT101	0.7
471	YPL046C	ELC1	0.7
472	YPL230W	USV1	0.7
473	YNL197C	WHI3	0.7
474	YHR205W	SCH9	0.7
475	YML061C	PIF1	0.7
476	YPR084W	YPR084W	0.7
477	YNL270C	ALP1	0.7
478	YAL055W	PEX22	0.7
479	YBR040W	FIG1	0.7
480	YCR067C	SED4	0.7
481	YOR247W	SRL1	0.7
482	YBR050C	REG2	0.7
483	YOR354C	MSC6	0.7
484	YNL265C	IST1	0.7
485	YFR029W	PTR3	0.7
486	YJR044C	VPS55	0.7
487	YML010W	SPT5	0.7
488	YHR051W	COX6	0.7
489	YOL091W	SPO21	0.7
490	YMR022W	UBC7	0.7
491	YBR222C	PCS60	0.7
492	YBR003W	COQ1	0.7
493	YPL082C	MOT1	0.7
494	YOR036W	PEP12	0.7
495	YOR266W	PNT1	0.7
496	YML128C	MSC1	0.7
497	YML117W	NAB6	0.7
498	YBR288C	APM3	0.7
499	YNL223W	ATG4	0.7
500	YHR079C	IRE1	0.7
501	YGL237C	HAP2	0.7
502	YJL205C	NCE101	0.7
503	YDL047W	SIT4	0.7
504	YGR229C	SMI1	0.7
505	YOR290C	SNF2	0.7
506	YEL069C	HXT13	0.7
507	YIL157C	COA1	0.7
508	YNR045W	PET494	0.7
509	YMR036C	MIH1	0.7
510	YKL095W	YJU2	0.7
511	YML041C	VPS71	0.7
512	YLR303W	MET17	0.7
513	YMR136W	GAT2	0.7
514	YPL033C	SRL4	0.7
515	YJR090C	GRR1	0.7
516	YKL159C	RCN1	0.7
517	YBR109C	CMD1	0.7
518	YBR098W	MMS4	0.7
519	YOR104W	PIN2	0.7
520	YBR023C	CHS3	0.7
521	YGL187C	COX4	0.7
522	YAL054C	ACS1	0.7
523	YCL027W	FUS1	0.7
524	YOR128C	ADE2	0.7
525	YGR013W	SNU71	0.7
526	YGL180W	ATG1	0.7
527	YDR287W	INM2	0.7
528	YKR083C	DAD2	0.7
529	YML007W	YAP1	0.7
530	YOR350C	MNE1	0.7
531	YDR251W	PAM1	0.7
532	YGL159W	YGL159W	0.7
533	YIR015W	RPR2	0.7
534	YJL043W	YJL043W	0.7
535	YOR372C	NDD1	0.7
536	YDL205C	HEM3	0.7
537	YDR313C	PIB1	0.7
538	YLR069C	MEF1	0.7
539	YDL178W	DLD2	0.7
540	YBR136W	MEC1	0.7
541	YLR430W	SEN1	0.7
542	YDL231C	BRE4	0.7
543	YCR042C	TAF2	0.7
544	YBR146W	MRPS9	0.7
545	YJL176C	SWI3	0.7
546	YPR054W	SMK1	0.7
547	YIR025W	MND2	0.7
548	YML118W	NGL3	0.7
549	YNL273W	TOF1	0.7
550	YBR221C	PDB1	0.7
551	YOR161C	PNS1	0.7
552	YDL169C	UGX2	0.7
553	YOL019W	TOS7	0.7
554	YLR134W	PDC5	0.7
555	YPR194C	OPT2	0.7
556	YMR309C	NIP1	0.7
557	YBL051C	PIN4	0.7
558	YFR023W	PES4	0.7
559	YHL020C	OPI1	0.7
560	YJL103C	GSM1	0.7
561	YBR268W	MRPL37	0.7
562	YBR201W	DER1	0.7
563	YDR121W	DPB4	0.7
564	YDR085C	AFR1	0.7
565	YKR015C	YKR015C	0.7
566	YLR309C	IMH1	0.7
567	YLR382C	NAM2	0.7
568	YNL016W	PUB1	0.7
569	YNL264C	PDR17	0.7
570	YBR080C	SEC18	0.7
571	YDR484W	VPS52	0.7
572	YDR221W	GTB1	0.7
573	YOR168W	GLN4	0.7
574	YOR327C	SNC2	0.7
575	YHR216W	IMD2	0.7
576	YIL146C	ATG32	0.7
577	YDR097C	MSH6	0.7
578	YDR128W	MTC5	0.7
579	YBR182C	SMP1	0.7
580	YGR256W	GND2	0.7
581	YHL032C	GUT1	0.7
582	YGL123W	RPS2	0.7
583	YEL061C	CIN8	0.7
584	YMR133W	REC114	0.7
585	YGR008C	STF2	0.7
586	YLR263W	RED1	0.7
587	YOR086C	TCB1	0.7
588	YNL328C	MDJ2	0.7
589	YJR158W	HXT16	0.7
590	YGL167C	PMR1	0.7
591	YIL163C	YIL163C	0.7
592	YJL137C	GLG2	0.7
593	YPL204W	HRR25	0.7
594	YLR341W	SPO77	0.7
595	YNL180C	RHO5	0.7
596	YGL212W	VAM7	0.7
597	YDR092W	UBC13	0.7
598	YNR056C	BIO5	0.7
599	YPR159W	KRE6	0.7
600	YMR247C	RKR1	0.7
601	YKL010C	UFD4	0.7
602	YJL201W	ECM25	0.7
603	YKL156W	RPS27A	0.7
604	YOR124C	UBP2	0.7
605	YKL073W	LHS1	0.7
606	YGR227W	DIE2	0.7
607	YOR195W	SLK19	0.7
608	YAL017W	PSK1	0.7
609	YDR104C	SPO71	0.7
610	YDR014W	RAD61	0.7
611	YFL060C	SNO3	0.7
612	YDR343C	HXT6	0.7
613	YKL003C	MRP17	0.7
614	YDR023W	SES1	0.7
615	YIL050W	PCL7	0.7
616	YDR363W	ESC2	0.7
617	YER165W	PAB1	0.7
618	YER116C	SLX8	0.7
619	YLR295C	ATP14	0.7
620	YJL133W	MRS3	0.7
621	YAL051W	OAF1	0.7
622	YLR357W	RSC2	0.7
623	YDR255C	RMD5	0.7
624	YBR095C	RXT2	0.7
625	YBL013W	FMT1	0.7
626	YGL136C	MRM2	0.7
627	YLL004W	ORC3	0.7
628	YKR094C	RPL40B	0.7
629	YOR241W	MET7	0.7
630	YFL039C	ACT1	0.7
631	YPR094W	RDS3	0.7
632	YGL045W	RIM8	0.7
633	YGL139W	FLC3	0.7
634	YGL005C	COG7	0.7
635	YKR028W	SAP190	0.7
636	YDR437W	GPI19	0.7
637	YDL004W	ATP16	0.7
638	YDR389W	SAC7	0.7
639	YGL131C	SNT2	0.7
640	YPR134W	MSS18	0.7
641	YLR360W	VPS38	0.7
642	YOR393W	ERR1	0.7
643	YDR170C	SEC7	0.7
644	YBL017C	PEP1	0.7
645	YKL197C	PEX1	0.7
646	YBR065C	ECM2	0.7
647	YLR452C	SST2	0.7
648	YNL274C	GOR1	0.7
649	YKL198C	PTK1	0.7
650	YKR001C	VPS1	0.7
651	YER033C	ZRG8	0.7
652	YNL287W	SEC21	0.7
653	YDL195W	SEC31	0.7
654	YDR403W	DIT1	0.7
655	YGR048W	UFD1	0.7
656	YDR195W	REF2	0.7
657	YOR150W	MRPL23	0.7
658	YKL032C	IXR1	0.7
659	YDR305C	HNT2	0.7
660	YML094W	GIM5	0.7
661	YDL225W	SHS1	0.7
662	YPR093C	ASR1	0.7
663	YDR291W	HRQ1	0.7
664	YGL125W	MET13	0.7
665	YGL219C	MDM34	0.7
666	YJL154C	VPS35	0.7
667	YGR061C	ADE6	0.7
668	YBR213W	MET8	0.7
669	YMR191W	SPG5	0.7
670	YPR068C	HOS1	0.7
671	YLR127C	APC2	0.7
672	YHR152W	SPO12	0.7
673	YFL062W	COS4	0.7
674	YER133W	GLC7	0.7
675	YMR193W	MRPL24	0.7
676	YMR163C	INP2	0.7
677	YNL297C	MON2	0.7
678	YBR055C	PRP6	0.7
679	YDR231C	COX20	0.7
680	YFR040W	SAP155	0.7
681	YKL142W	MRP8	0.7
682	YLR045C	STU2	0.7
683	YPL160W	CDC60	0.7
684	YNL237W	YTP1	0.7
685	YOR048C	RAT1	0.7
686	YDR025W	RPS11A	0.7
687	YLR327C	TMA10	0.7
688	YCR106W	RDS1	0.7
689	YBR212W	NGR1	0.7
690	YLR310C	CDC25	0.7
691	YDR074W	TPS2	0.7
692	YJL028W	YJL028W	0.7
693	YER036C	ARB1	0.7
694	YMR192W	GYL1	0.7
695	YNL101W	AVT4	0.7
696	YOR344C	TYE7	0.7
697	YPR045C	THP3	0.7
698	YFL024C	EPL1	0.7
699	YNL307C	MCK1	0.7
700	YGR088W	CTT1	0.7
701	YDL005C	MED2	0.7
702	YDL040C	NAT1	0.7
703	YMR304W	UBP15	0.7
704	YNL128W	TEP1	0.7
705	YKR049C	FMP46	0.7
706	YMR094W	CTF13	0.7
707	YFL033C	RIM15	0.7
708	YNR052C	POP2	0.7
709	YOR183W	FYV12	0.7
710	YKL026C	GPX1	0.7
711	YOR335C	ALA1	0.7
712	YIL005W	EPS1	0.7
713	YNL047C	SLM2	0.7
714	YDR030C	RAD28	0.7
715	YNL210W	MER1	0.7
716	YDR174W	HMO1	0.7
717	Q0010	Q0010	0.7
718	YIL112W	HOS4	0.7
719	YDL149W	ATG9	0.7
720	YJR101W	RSM26	0.7
721	YLR234W	TOP3	0.7
722	YNL036W	NCE103	0.7
723	YOR077W	RTS2	0.7
724	YCR077C	PAT1	0.7
725	YNR049C	MSO1	0.7
726	YPL022W	RAD1	0.7
727	YBR142W	MAK5	0.7
728	YLR307W	CDA1	0.7
729	YHR155W	LAM1	0.7
730	YOR254C	SEC63	0.7
731	YMR287C	DSS1	0.7
732	YDR320C-A	DAD4	0.7
733	YMR257C	PET111	0.7
734	YNL131W	TOM22	0.7
735	YNL288W	CAF40	0.7
736	YAR042W	SWH1	0.7
737	YGL206C	CHC1	0.7
738	YFL031W	HAC1	0.7
739	YEL020W-A	TIM9	0.7
740	YPR119W	CLB2	0.7
741	YHR156C	LIN1	0.7
742	YDL141W	BPL1	0.7
743	YLR081W	GAL2	0.7
744	YFR015C	GSY1	0.7
745	YER081W	SER3	0.7
746	YKL135C	APL2	0.7
747	YAL031C	GIP4	0.7
748	YGR253C	PUP2	0.7
749	YPR129W	SCD6	0.7
750	YGR028W	MSP1	0.7
751	YDL219W	DTD1	0.7
752	YIR011C	STS1	0.7
753	YAR031W	PRM9	0.7
754	YOL071W	SDH5	0.7
755	YLR273C	PIG1	0.7
756	YCL066W	HMLALPHA1	0.7
757	YMR041C	ARA2	0.7
758	YDR126W	SWF1	0.7
759	YPL091W	GLR1	0.7
760	YMR070W	MOT3	0.7
761	YNL291C	MID1	0.7
762	YGL216W	KIP3	0.7
763	YIL135C	VHS2	0.7
764	YOR172W	YRM1	0.7
765	YBR152W	SPP381	0.7
766	YKL080W	VMA5	0.7
767	YAL032C	PRP45	0.7
768	YJR113C	RSM7	0.7
769	YNL173C	MDG1	0.7
770	YHL043W	ECM34	0.7
771	YMR006C	PLB2	0.7
772	YER014C-A	BUD25	0.7
773	YFL059W	SNZ3	0.7
774	YLR087C	CSF1	0.7
775	YFL014W	HSP12	0.7
776	YNL085W	MKT1	0.7
777	YAR019C	CDC15	0.7
778	YDR507C	GIN4	0.7
779	YPL221W	FLC1	0.7
780	YLR343W	GAS2	0.7
781	YJL197W	UBP12	0.7
782	YPL228W	CET1	0.7
783	YML078W	CPR3	0.7
784	YKL163W	PIR3	0.7
785	YPL167C	REV3	0.7
786	YBR094W	PBY1	0.7
787	YMR234W	RNH1	0.7
788	YDL085W	NDE2	0.7
789	YJL041W	NSP1	0.7
790	YNR008W	LRO1	0.7
791	YNL213C	RRG9	0.7
792	YDL031W	DBP10	0.7
793	YGL059W	PKP2	0.7
794	YDR434W	GPI17	0.7
795	YOR322C	LDB19	0.7
796	YML035C	AMD1	0.7
797	YDR528W	HLR1	0.7
798	YLR369W	SSQ1	0.7
799	YBL090W	MRP21	0.7
800	YER185W	PUG1	0.7
801	YER080W	AIM9	0.7
802	YKR035W-A	DID2	0.7
803	YLR274W	MCM5	0.7
804	YPR007C	REC8	0.7
805	YKL025C	PAN3	0.7
806	YBL038W	MRPL16	0.7
807	YIL129C	TAO3	0.7
808	YJR089W	BIR1	0.7
809	YLR390W-A	CCW14	0.7
810	YLL021W	SPA2	0.7
811	YBR294W	SUL1	0.7
812	YIL035C	CKA1	0.7
813	YAL011W	SWC3	0.7
814	YPL146C	NOP53	0.7
815	YLR099C	ICT1	0.7
816	YEL050C	RML2	0.7
817	YMR081C	ISF1	0.7
818	YJR055W	HIT1	0.7
819	YMR237W	BCH1	0.7
820	YGL174W	BUD13	0.7
821	YGL210W	YPT32	0.7
822	YDR322W	MRPL35	0.7
823	YPL037C	EGD1	0.7
